location,omega,pop,season
California,29.908715888832806,40129160,1999-2000
California,10.254592294508246,40129160,2000-2001
California,11.053168651202272,40129160,2001-2002
California,10.684992461324406,40129160,2002-2003
California,37.106825147587905,40129160,2003-2004
California,11.025160156764269,40129160,2004-2005
California,29.362901276901532,40129160,2005-2006
California,11.825079371530068,40129160,2006-2007
California,19.317421910799972,40129160,2007-2008
California,12.42254002453359,40129160,2008-2009
California,22.354142207091556,40129160,2009-2010
California,19.897136756120727,40129160,2010-2011
California,14.021613428703983,40129160,2011-2012
California,27.61394206553205,40129160,2012-2013
California,31.42536312057358,40129160,2013-2014
California,30.596625121492416,40129160,2014-2015
California,27.720193678232008,40129160,2015-2016
California,33.218966304114836,40129160,2016-2017
California,37.32299264023584,40129160,2017-2018
California,23.36491802852958,40129160,2018-2019
California,33.36820870851184,40129160,2019-2020
California,10.500310609253683,40129160,2020-2021
California,19.664265063044983,40129160,2021-2022
California,41.515244354151804,40129160,2022-2023
