location,omega,pop,season,cadence,location_level,disease,log_pop
nd,12.479168888907587,762062,2023-2024,Daily,state,COVID-19,13.543783196188242
Alameda,8.015442343748802,1685886,2022-2024,NA,county,COVID-19,14.337801799599534
Amador,6.025190409764347,38531,2022-2024,NA,county,COVID-19,10.559218391085642
Butte,9.158114328747747,217769,2022-2024,NA,county,COVID-19,12.291190146935717
Contra Costa,13.40092462687007,1160099,2022-2024,NA,county,COVID-19,13.964015904268472
Del Norte,8.658232034095404,27558,2022-2024,NA,county,COVID-19,10.224048153553849
El Dorado,13.343857497399092,193098,2022-2024,NA,county,COVID-19,12.170953111035159
Fresno,10.088377303565077,1032227,2022-2024,NA,county,COVID-19,13.847229162076028
Humboldt,11.270746002536535,134098,2022-2024,NA,county,COVID-19,11.80632615491545
Imperial,12.269830965511396,191649,2022-2024,NA,county,COVID-19,12.163420852950058
Inyo,6.8873481586296474,18453,2022-2024,NA,county,COVID-19,9.822982237876477
Kern,6.193191281950128,927251,2022-2024,NA,county,COVID-19,13.73997957380906
Kings,13.280853388629454,156444,2022-2024,NA,county,COVID-19,11.96045339745078
Lake,8.31771565288274,64871,2022-2024,NA,county,COVID-19,11.080155961534562
Los Angeles,16.401366713470335,10257557,2022-2024,NA,county,COVID-19,16.143525260192618
Marin,12.196517014709041,260800,2022-2024,NA,county,COVID-19,12.471509109034635
Mendocino,11.335629793659162,88439,2022-2024,NA,county,COVID-19,11.390068327806597
Merced,16.570355293158766,287420,2022-2024,NA,county,COVID-19,12.568699839628238
Monterey,10.762448382636924,448732,2022-2024,NA,county,COVID-19,13.014181106559528
Napa,14.230224048321071,139652,2022-2024,NA,county,COVID-19,11.846908892788852
Nevada,10.668908984262671,98710,2022-2024,NA,county,COVID-19,11.499941537411933
Orange,12.363521170937231,3228519,2022-2024,NA,county,COVID-19,14.987534076117296
Placer,8.567572858902306,400434,2022-2024,NA,county,COVID-19,12.900304237903036
Riverside,9.098546442786281,2468145,2022-2024,NA,county,COVID-19,14.718977414307515
Sacramento,8.761116035849403,1567975,2022-2024,NA,county,COVID-19,14.265295535887834
San Bernardino,10.241198424105313,2217398,2022-2024,NA,county,COVID-19,14.611844994362734
San Diego,10.131034197719602,3370418,2022-2024,NA,county,COVID-19,15.030547330245073
San Francisco,13.930285093142047,892280,2022-2024,NA,county,COVID-19,13.701535263650719
San Joaquin,12.320305878359317,782545,2022-2024,NA,county,COVID-19,13.570306707730145
San Luis Obispo,12.660833518401382,278862,2022-2024,NA,county,COVID-19,12.538472314780956
San Mateo,9.536258495726669,778001,2022-2024,NA,county,COVID-19,13.564483088506746
Santa Barbara,11.156406539455798,456373,2022-2024,NA,county,COVID-19,13.031065736587339
Santa Clara,11.991987868803333,1967585,2022-2024,NA,county,COVID-19,14.49231746037355
Shasta,10.491025395690489,177925,2022-2024,NA,county,COVID-19,12.089117392167472
Solano,13.532347622248198,444255,2022-2024,NA,county,COVID-19,13.004154000877591
Sonoma,12.14080671404938,496668,2022-2024,NA,county,COVID-19,13.115677073813687
Stanislaus,11.136637852005926,562303,2022-2024,NA,county,COVID-19,13.239796129496366
Tehama,12.035831470356806,65885,2022-2024,NA,county,COVID-19,11.095666076979352
Tulare,15.232797063022552,484423,2022-2024,NA,county,COVID-19,13.090713770954181
Tuolumne,18.034803235569562,52351,2022-2024,NA,county,COVID-19,10.86572631831299
Ventura,9.702115120336996,852747,2022-2024,NA,county,COVID-19,13.656218182244801
Yolo,7.252503674554312,223612,2022-2024,NA,county,COVID-19,12.317667686086015
Yuba,9.54002098756732,79290,2022-2024,NA,county,COVID-19,11.280867296266445
Alameda,6.483780156355767,1685886,2022-2023,NA,county,COVID-19,14.337801799599534
Amador,10.31233439317768,38531,2022-2023,NA,county,COVID-19,10.559218391085642
Butte,11.95078006194068,217769,2022-2023,NA,county,COVID-19,12.291190146935717
Contra Costa,12.90691031961706,1160099,2022-2023,NA,county,COVID-19,13.964015904268472
Del Norte,7.661651324662843,27558,2022-2023,NA,county,COVID-19,10.224048153553849
El Dorado,8.751356736954142,193098,2022-2023,NA,county,COVID-19,12.170953111035159
Fresno,12.195741016856697,1032227,2022-2023,NA,county,COVID-19,13.847229162076028
Humboldt,14.795822902596022,134098,2022-2023,NA,county,COVID-19,11.80632615491545
Imperial,12.013919085679293,191649,2022-2023,NA,county,COVID-19,12.163420852950058
Inyo,1.1102230246251565e-14,18453,2022-2023,NA,county,COVID-19,9.822982237876477
Kern,11.489328081821014,927251,2022-2023,NA,county,COVID-19,13.73997957380906
Kings,14.072373234497737,156444,2022-2023,NA,county,COVID-19,11.96045339745078
Lake,11.12313397627317,64871,2022-2023,NA,county,COVID-19,11.080155961534562
Los Angeles,13.073108611466866,10257557,2022-2023,NA,county,COVID-19,16.143525260192618
Marin,12.089595245642359,260800,2022-2023,NA,county,COVID-19,12.471509109034635
Mendocino,10.292937604288033,88439,2022-2023,NA,county,COVID-19,11.390068327806597
Merced,16.491732536213966,287420,2022-2023,NA,county,COVID-19,12.568699839628238
Monterey,9.988569112652868,448732,2022-2023,NA,county,COVID-19,13.014181106559528
Napa,16.963670834750832,139652,2022-2023,NA,county,COVID-19,11.846908892788852
Nevada,12.480960404121365,98710,2022-2023,NA,county,COVID-19,11.499941537411933
Orange,12.514854864462134,3228519,2022-2023,NA,county,COVID-19,14.987534076117296
Placer,7.072478076481792,400434,2022-2023,NA,county,COVID-19,12.900304237903036
Riverside,9.923291495317176,2468145,2022-2023,NA,county,COVID-19,14.718977414307515
Sacramento,10.862284797990984,1567975,2022-2023,NA,county,COVID-19,14.265295535887834
San Bernardino,7.970777923106487,2217398,2022-2023,NA,county,COVID-19,14.611844994362734
San Diego,13.163488832379555,3370418,2022-2023,NA,county,COVID-19,15.030547330245073
San Francisco,9.035239690819274,892280,2022-2023,NA,county,COVID-19,13.701535263650719
San Joaquin,13.187986707703514,782545,2022-2023,NA,county,COVID-19,13.570306707730145
San Luis Obispo,13.021923711661664,278862,2022-2023,NA,county,COVID-19,12.538472314780956
San Mateo,11.379497092297985,778001,2022-2023,NA,county,COVID-19,13.564483088506746
Santa Barbara,17.324229242303414,456373,2022-2023,NA,county,COVID-19,13.031065736587339
Santa Clara,14.293133980073769,1967585,2022-2023,NA,county,COVID-19,14.49231746037355
Shasta,10.8480609233495,177925,2022-2023,NA,county,COVID-19,12.089117392167472
Solano,10.269710768888352,444255,2022-2023,NA,county,COVID-19,13.004154000877591
Sonoma,21.735665647722602,496668,2022-2023,NA,county,COVID-19,13.115677073813687
Stanislaus,9.187713917788386,562303,2022-2023,NA,county,COVID-19,13.239796129496366
Tehama,13.279469949204737,65885,2022-2023,NA,county,COVID-19,11.095666076979352
Tulare,17.511377267280672,484423,2022-2023,NA,county,COVID-19,13.090713770954181
Tuolumne,17.10923456191028,52351,2022-2023,NA,county,COVID-19,10.86572631831299
Ventura,12.450287305136165,852747,2022-2023,NA,county,COVID-19,13.656218182244801
Yolo,7.078600046512484,223612,2022-2023,NA,county,COVID-19,12.317667686086015
Yuba,13.181058362749464,79290,2022-2023,NA,county,COVID-19,11.280867296266445
Alameda,6.999640284224551,1685886,2023-2024,NA,county,COVID-19,14.337801799599534
Amador,9.754062094203364,38531,2023-2024,NA,county,COVID-19,10.559218391085642
Butte,10.240646927946418,217769,2023-2024,NA,county,COVID-19,12.291190146935717
Contra Costa,9.839040989822124,1160099,2023-2024,NA,county,COVID-19,13.964015904268472
Del Norte,7.536412364929523,27558,2023-2024,NA,county,COVID-19,10.224048153553849
El Dorado,22.648097013165046,193098,2023-2024,NA,county,COVID-19,12.170953111035159
Fresno,11.953712471070855,1032227,2023-2024,NA,county,COVID-19,13.847229162076028
Humboldt,17.459261761577416,134098,2023-2024,NA,county,COVID-19,11.80632615491545
Imperial,15.231283698763908,191649,2023-2024,NA,county,COVID-19,12.163420852950058
Inyo,7.559234393122438,18453,2023-2024,NA,county,COVID-19,9.822982237876477
Kern,8.255788524592923,927251,2023-2024,NA,county,COVID-19,13.73997957380906
Kings,13.607130716423699,156444,2023-2024,NA,county,COVID-19,11.96045339745078
Lake,7.21492439152458,64871,2023-2024,NA,county,COVID-19,11.080155961534562
Los Angeles,22.791331227385715,10257557,2023-2024,NA,county,COVID-19,16.143525260192618
Marin,11.914471056916277,260800,2023-2024,NA,county,COVID-19,12.471509109034635
Mendocino,9.899634596652994,88439,2023-2024,NA,county,COVID-19,11.390068327806597
Merced,15.787983937463924,287420,2023-2024,NA,county,COVID-19,12.568699839628238
Monterey,19.42937957159977,448732,2023-2024,NA,county,COVID-19,13.014181106559528
Napa,12.36317170842549,139652,2023-2024,NA,county,COVID-19,11.846908892788852
Nevada,21.25062767818946,98710,2023-2024,NA,county,COVID-19,11.499941537411933
Orange,14.435279677142077,3228519,2023-2024,NA,county,COVID-19,14.987534076117296
Placer,14.68983169854724,400434,2023-2024,NA,county,COVID-19,12.900304237903036
Riverside,11.817285223303475,2468145,2023-2024,NA,county,COVID-19,14.718977414307515
Sacramento,6.4763941328735974,1567975,2023-2024,NA,county,COVID-19,14.265295535887834
San Bernardino,12.675250098170165,2217398,2023-2024,NA,county,COVID-19,14.611844994362734
San Diego,13.218524134337361,3370418,2023-2024,NA,county,COVID-19,15.030547330245073
San Francisco,16.10361279564092,892280,2023-2024,NA,county,COVID-19,13.701535263650719
San Joaquin,12.887514906227171,782545,2023-2024,NA,county,COVID-19,13.570306707730145
San Luis Obispo,14.256808595336457,278862,2023-2024,NA,county,COVID-19,12.538472314780956
San Mateo,9.04552286619371,778001,2023-2024,NA,county,COVID-19,13.564483088506746
Santa Barbara,11.805626790444412,456373,2023-2024,NA,county,COVID-19,13.031065736587339
Santa Clara,11.790560620273748,1967585,2023-2024,NA,county,COVID-19,14.49231746037355
Shasta,11.580321658535354,177925,2023-2024,NA,county,COVID-19,12.089117392167472
Solano,16.96809391257945,444255,2023-2024,NA,county,COVID-19,13.004154000877591
Sonoma,9.419647659985541,496668,2023-2024,NA,county,COVID-19,13.115677073813687
Stanislaus,11.279664549078628,562303,2023-2024,NA,county,COVID-19,13.239796129496366
Tehama,13.13573941044135,65885,2023-2024,NA,county,COVID-19,11.095666076979352
Tulare,13.04972509941027,484423,2023-2024,NA,county,COVID-19,13.090713770954181
Tuolumne,15.257911112792822,52351,2023-2024,NA,county,COVID-19,10.86572631831299
Ventura,13.607824731466668,852747,2023-2024,NA,county,COVID-19,13.656218182244801
Yolo,11.72748343983474,223612,2023-2024,NA,county,COVID-19,12.317667686086015
Yuba,11.468980905252014,79290,2023-2024,NA,county,COVID-19,11.280867296266445
ak,9.93275408134674,731545,2022-2024,Daily,state,Influenza,13.502914014980135
al,15.757836167387374,4903185,2022-2024,Daily,state,Influenza,15.405395551922352
ar,15.05440035729617,3017804,2022-2024,Daily,state,Influenza,14.920039972529695
az,27.46329650896512,7278717,2022-2024,Daily,state,Influenza,15.800465168377697
ca,28.913867855336573,39512223,2022-2024,Daily,state,Influenza,17.492120625041704
co,12.077445327994663,5758736,2022-2024,Daily,state,Influenza,15.566228564146174
ct,14.444852415187981,3565287,2022-2024,Daily,state,Influenza,15.086755113499024
dc,10.978415239802807,705749,2022-2024,Daily,state,Influenza,13.46701492918239
de,13.273912613629069,973764,2022-2024,Daily,state,Influenza,13.788924253470674
fl,18.95941178535161,21477737,2022-2024,Daily,state,Influenza,16.88252746823733
ga,16.408917654454225,10617423,2022-2024,Daily,state,Influenza,16.178006888965257
hi,10.06381976283559,1415872,2022-2024,Daily,state,Influenza,14.163256153669659
ia,15.37800013110292,3155070,2022-2024,Daily,state,Influenza,14.964521240716078
id,14.918371853846402,1787065,2022-2024,Daily,state,Influenza,14.396085167290911
il,22.16496699702558,12671821,2022-2024,Daily,state,Influenza,16.354891267305263
in,21.32782892776538,6732219,2022-2024,Daily,state,Influenza,15.722415364958001
ks,16.370108280243333,2913314,2022-2024,Daily,state,Influenza,14.884801822785983
ky,20.80183207450276,4467673,2022-2024,Daily,state,Influenza,15.312378249384595
la,13.84578770668461,4648794,2022-2024,Daily,state,Influenza,15.352118389086547
ma,22.55516528146768,6892503,2022-2024,Daily,state,Influenza,15.745944857135706
md,18.344685789824812,6045680,2022-2024,Daily,state,Influenza,15.61485452536542
me,15.81700005751241,1344212,2022-2024,Daily,state,Influenza,14.111318525721124
mi,22.073871416381095,9986857,2022-2024,Daily,state,Influenza,16.11678048650856
mn,17.18768786974958,5639632,2022-2024,Daily,state,Influenza,15.545329373118532
mo,21.798917898730497,6137428,2022-2024,Daily,state,Influenza,15.629916319855207
ms,13.73125508810935,2976149,2022-2024,Daily,state,Influenza,14.9061407408861
mt,11.36138951920147,1068778,2022-2024,Daily,state,Influenza,13.882026497720332
nc,21.395126442184818,10488084,2022-2024,Daily,state,Influenza,16.16575031354692
nd,10.000828949623608,762062,2022-2024,Daily,state,Influenza,13.543783196188242
ne,11.409827620891821,1934408,2022-2024,Daily,state,Influenza,14.47531189448341
nh,13.1284049398111,1359711,2022-2024,Daily,state,Influenza,14.12278273513091
nj,23.055989486863528,8882190,2022-2024,Daily,state,Influenza,15.999558706183862
nm,16.36314668782275,2096829,2022-2024,Daily,state,Influenza,14.5559367614947
nv,16.984584970245365,3080156,2022-2024,Daily,state,Influenza,14.940490803017772
ny,25.398239470788162,19453561,2022-2024,Daily,state,Influenza,16.783540696103653
oh,21.908742509508293,11689100,2022-2024,Daily,state,Influenza,16.27416734160507
ok,25.325514459100617,3956971,2022-2024,Daily,state,Influenza,15.190989391556274
or,23.871297974574613,4217737,2022-2024,Daily,state,Influenza,15.254809286251392
pa,20.634542524412012,12801989,2022-2024,Daily,state,Influenza,16.365111107442974
ri,9.724077106139784,1059361,2022-2024,Daily,state,Influenza,13.873176454124396
sc,19.017814611388385,5148714,2022-2024,Daily,state,Influenza,15.454257532719637
sd,12.153898513650718,884659,2022-2024,Daily,state,Influenza,13.692957539004349
tn,18.26257630872352,6829174,2022-2024,Daily,state,Influenza,15.73671428719104
tx,26.43367496502823,28995881,2022-2024,Daily,state,Influenza,17.182664343380136
us,33.768532514060965,328239523,2022-2024,Daily,state,Influenza,19.609254152892177
ut,12.223968842572353,3205958,2022-2024,Daily,state,Influenza,14.980521511629142
va,19.22006403649038,8535519,2022-2024,Daily,state,Influenza,15.959746720797773
vt,10.579565334941298,623989,2022-2024,Daily,state,Influenza,13.343888018991057
wa,20.580621773077745,7614893,2022-2024,Daily,state,Influenza,15.845616492997973
wi,17.41764252268011,5822434,2022-2024,Daily,state,Influenza,15.577228945339334
wv,15.318822816377365,1792147,2022-2024,Daily,state,Influenza,14.398924900402633
wy,10.821875374168211,578759,2022-2024,Daily,state,Influenza,13.268641435017608
ak,11.05227441882528,731545,2022-2023,Daily,state,Influenza,13.502914014980135
al,19.766464657050676,4903185,2022-2023,Daily,state,Influenza,15.405395551922352
ar,18.020442149645376,3017804,2022-2023,Daily,state,Influenza,14.920039972529695
az,27.073866148348802,7278717,2022-2023,Daily,state,Influenza,15.800465168377697
ca,31.202759351609966,39512223,2022-2023,Daily,state,Influenza,17.492120625041704
co,12.203985768916647,5758736,2022-2023,Daily,state,Influenza,15.566228564146174
