location,omega,pop,season,cadence,location_level,disease,log_pop
mi,14.244130505437347,9986857,2022-2023,Daily,state,COVID-19,16.11678048650856
mn,12.918526507679351,5639632,2022-2023,Daily,state,COVID-19,15.545329373118532
mo,13.541523650796062,6137428,2022-2023,Daily,state,COVID-19,15.629916319855207
mt,9.840191574620604,1068778,2022-2023,Daily,state,COVID-19,13.882026497720332
nc,18.225319035010767,10488084,2022-2023,Daily,state,COVID-19,16.16575031354692
ne,10.843878885295688,1934408,2022-2023,Daily,state,COVID-19,14.47531189448341
nh,13.733878263491084,1359711,2022-2023,Daily,state,COVID-19,14.12278273513091
nj,15.822298941027658,8882190,2022-2023,Daily,state,COVID-19,15.999558706183862
nm,10.590924841739302,2096829,2022-2023,Daily,state,COVID-19,14.5559367614947
nv,13.351502347854716,3080156,2022-2023,Daily,state,COVID-19,14.940490803017772
oh,18.403513935539305,11689100,2022-2023,Daily,state,COVID-19,16.27416734160507
ok,11.799420311982733,3956971,2022-2023,Daily,state,COVID-19,15.190989391556274
or,11.000465959873729,4217737,2022-2023,Daily,state,COVID-19,15.254809286251392
pa,13.692486869747745,12801989,2022-2023,Daily,state,COVID-19,16.365111107442974
sc,18.088114049807103,5148714,2022-2023,Daily,state,COVID-19,15.454257532719637
sd,11.426346180113745,884659,2022-2023,Daily,state,COVID-19,13.692957539004349
tn,13.978087665716842,6829174,2022-2023,Daily,state,COVID-19,15.73671428719104
tx,21.90855949435877,28995881,2022-2023,Daily,state,COVID-19,17.182664343380136
ut,10.568322233744787,3205958,2022-2023,Daily,state,COVID-19,14.980521511629142
va,16.11612030154801,8535519,2022-2023,Daily,state,COVID-19,15.959746720797773
vt,11.170265021551861,623989,2022-2023,Daily,state,COVID-19,13.343888018991057
wa,11.634019950138065,7614893,2022-2023,Daily,state,COVID-19,15.845616492997973
wi,11.876688254029855,5822434,2022-2023,Daily,state,COVID-19,15.577228945339334
wv,10.094244429171194,1792147,2022-2023,Daily,state,COVID-19,14.398924900402633
wy,13.481633861560827,578759,2022-2023,Daily,state,COVID-19,13.268641435017608
nd,12.760518625524519,762062,2022-2023,Daily,state,COVID-19,13.543783196188242
us,33.866213528823586,328239523,2023-2024,Daily,state,COVID-19,19.609254152892177
ri,12.568287504738763,1059361,2023-2024,Daily,state,COVID-19,13.873176454124396
ny,25.113343279982093,19453561,2023-2024,Daily,state,COVID-19,16.783540696103653
ms,14.595200382913742,2976149,2023-2024,Daily,state,COVID-19,14.9061407408861
me,14.74574985963063,1344212,2023-2024,Daily,state,COVID-19,14.111318525721124
ga,17.986889496526924,10617423,2023-2024,Daily,state,COVID-19,16.178006888965257
ak,11.621711707632477,731545,2023-2024,Daily,state,COVID-19,13.502914014980135
al,15.3271526862507,4903185,2023-2024,Daily,state,COVID-19,15.405395551922352
ar,11.01825196545212,3017804,2023-2024,Daily,state,COVID-19,14.920039972529695
az,14.386903211934465,7278717,2023-2024,Daily,state,COVID-19,15.800465168377697
ca,22.47149289437652,39512223,2023-2024,Daily,state,COVID-19,17.492120625041704
co,12.488492399017836,5758736,2023-2024,Daily,state,COVID-19,15.566228564146174
ct,11.954893533039945,3565287,2023-2024,Daily,state,COVID-19,15.086755113499024
dc,14.312258175275572,705749,2023-2024,Daily,state,COVID-19,13.46701492918239
de,11.037645784867667,973764,2023-2024,Daily,state,COVID-19,13.788924253470674
fl,25.287843726238545,21477737,2023-2024,Daily,state,COVID-19,16.88252746823733
hi,13.527436035704222,1415872,2023-2024,Daily,state,COVID-19,14.163256153669659
ia,12.939615375713064,3155070,2023-2024,Daily,state,COVID-19,14.964521240716078
id,11.130201143738939,1787065,2023-2024,Daily,state,COVID-19,14.396085167290911
il,19.602505238362756,12671821,2023-2024,Daily,state,COVID-19,16.354891267305263
in,15.644509806038032,6732219,2023-2024,Daily,state,COVID-19,15.722415364958001
ks,15.563105475225502,2913314,2023-2024,Daily,state,COVID-19,14.884801822785983
ky,14.314281787308547,4467673,2023-2024,Daily,state,COVID-19,15.312378249384595
la,13.985574779768084,4648794,2023-2024,Daily,state,COVID-19,15.352118389086547
ma,16.255603506926054,6892503,2023-2024,Daily,state,COVID-19,15.745944857135706
md,12.32431427593459,6045680,2023-2024,Daily,state,COVID-19,15.61485452536542
mi,19.28520241365922,9986857,2023-2024,Daily,state,COVID-19,16.11678048650856
mn,13.683697761731183,5639632,2023-2024,Daily,state,COVID-19,15.545329373118532
mo,15.595436606003831,6137428,2023-2024,Daily,state,COVID-19,15.629916319855207
mt,10.990565408309527,1068778,2023-2024,Daily,state,COVID-19,13.882026497720332
nc,16.488700720950757,10488084,2023-2024,Daily,state,COVID-19,16.16575031354692
ne,12.353806235796982,1934408,2023-2024,Daily,state,COVID-19,14.47531189448341
nh,11.573962316734121,1359711,2023-2024,Daily,state,COVID-19,14.12278273513091
nj,20.286264532492815,8882190,2023-2024,Daily,state,COVID-19,15.999558706183862
nm,10.58225783892981,2096829,2023-2024,Daily,state,COVID-19,14.5559367614947
nv,11.455619851508192,3080156,2023-2024,Daily,state,COVID-19,14.940490803017772
oh,19.368953408079324,11689100,2023-2024,Daily,state,COVID-19,16.27416734160507
ok,12.828473254472117,3956971,2023-2024,Daily,state,COVID-19,15.190989391556274
or,12.270397464857952,4217737,2023-2024,Daily,state,COVID-19,15.254809286251392
pa,18.676276059431252,12801989,2023-2024,Daily,state,COVID-19,16.365111107442974
sc,13.73764560145483,5148714,2023-2024,Daily,state,COVID-19,15.454257532719637
sd,11.855498011749932,884659,2023-2024,Daily,state,COVID-19,13.692957539004349
tn,17.511453183329994,6829174,2023-2024,Daily,state,COVID-19,15.73671428719104
tx,20.25989881510225,28995881,2023-2024,Daily,state,COVID-19,17.182664343380136
ut,9.979892162887772,3205958,2023-2024,Daily,state,COVID-19,14.980521511629142
va,18.876193690455967,8535519,2023-2024,Daily,state,COVID-19,15.959746720797773
vt,10.174975506057383,623989,2023-2024,Daily,state,COVID-19,13.343888018991057
wa,13.91480505333188,7614893,2023-2024,Daily,state,COVID-19,15.845616492997973
wi,13.521041810429256,5822434,2023-2024,Daily,state,COVID-19,15.577228945339334
wv,14.286167331879007,1792147,2023-2024,Daily,state,COVID-19,14.398924900402633
wy,9.885326307218257,578759,2023-2024,Daily,state,COVID-19,13.268641435017608
nd,14.41201675338386,762062,2023-2024,Daily,state,COVID-19,13.543783196188242
Alameda,8.41451628534572,1685886,2022-2024,NA,county,COVID-19,14.337801799599534
Amador,7.851653078904663,38531,2022-2024,NA,county,COVID-19,10.559218391085642
Butte,9.623162619969172,217769,2022-2024,NA,county,COVID-19,12.291190146935717
Contra Costa,16.36225610013662,1160099,2022-2024,NA,county,COVID-19,13.964015904268472
Del Norte,10.706505467199179,27558,2022-2024,NA,county,COVID-19,10.224048153553849
El Dorado,12.56226022023965,193098,2022-2024,NA,county,COVID-19,12.170953111035159
Fresno,6.61719867226741,1032227,2022-2024,NA,county,COVID-19,13.847229162076028
Humboldt,13.764069354734776,134098,2022-2024,NA,county,COVID-19,11.80632615491545
Imperial,12.78556723919304,191649,2022-2024,NA,county,COVID-19,12.163420852950058
Inyo,7.255296040551196,18453,2022-2024,NA,county,COVID-19,9.822982237876477
Kern,8.296152257431755,927251,2022-2024,NA,county,COVID-19,13.73997957380906
Kings,13.140439097779977,156444,2022-2024,NA,county,COVID-19,11.96045339745078
Lake,8.006228128418357,64871,2022-2024,NA,county,COVID-19,11.080155961534562
Los Angeles,16.12325023017458,10257557,2022-2024,NA,county,COVID-19,16.143525260192618
Marin,11.246183162475498,260800,2022-2024,NA,county,COVID-19,12.471509109034635
Mendocino,10.52841613489356,88439,2022-2024,NA,county,COVID-19,11.390068327806597
Merced,13.884605531111893,287420,2022-2024,NA,county,COVID-19,12.568699839628238
Monterey,15.299770387756107,448732,2022-2024,NA,county,COVID-19,13.014181106559528
Napa,14.352623414638288,139652,2022-2024,NA,county,COVID-19,11.846908892788852
Nevada,10.27372739115494,98710,2022-2024,NA,county,COVID-19,11.499941537411933
Orange,11.150340129292214,3228519,2022-2024,NA,county,COVID-19,14.987534076117296
Placer,7.325042347048461,400434,2022-2024,NA,county,COVID-19,12.900304237903036
Riverside,8.510641962754361,2468145,2022-2024,NA,county,COVID-19,14.718977414307515
Sacramento,8.729305107461505,1567975,2022-2024,NA,county,COVID-19,14.265295535887834
San Bernardino,11.247109654038068,2217398,2022-2024,NA,county,COVID-19,14.611844994362734
San Diego,9.377426509443698,3370418,2022-2024,NA,county,COVID-19,15.030547330245073
San Francisco,15.47681830201768,892280,2022-2024,NA,county,COVID-19,13.701535263650719
San Joaquin,8.841020619318861,782545,2022-2024,NA,county,COVID-19,13.570306707730145
San Luis Obispo,14.095217176916863,278862,2022-2024,NA,county,COVID-19,12.538472314780956
San Mateo,7.137089638128269,778001,2022-2024,NA,county,COVID-19,13.564483088506746
Santa Barbara,6.9574403665383695,456373,2022-2024,NA,county,COVID-19,13.031065736587339
Santa Clara,9.582634381369138,1967585,2022-2024,NA,county,COVID-19,14.49231746037355
Shasta,15.59563115065129,177925,2022-2024,NA,county,COVID-19,12.089117392167472
Solano,12.315862319663163,444255,2022-2024,NA,county,COVID-19,13.004154000877591
Sonoma,13.866744593132985,496668,2022-2024,NA,county,COVID-19,13.115677073813687
Stanislaus,12.838017323451623,562303,2022-2024,NA,county,COVID-19,13.239796129496366
Tehama,11.585295093096548,65885,2022-2024,NA,county,COVID-19,11.095666076979352
Tulare,16.596702665017816,484423,2022-2024,NA,county,COVID-19,13.090713770954181
Tuolumne,17.457366267435106,52351,2022-2024,NA,county,COVID-19,10.86572631831299
Ventura,9.600404786954286,852747,2022-2024,NA,county,COVID-19,13.656218182244801
Yolo,7.862400717265072,223612,2022-2024,NA,county,COVID-19,12.317667686086015
Yuba,11.35120833457769,79290,2022-2024,NA,county,COVID-19,11.280867296266445
Alameda,7.713004136067092,1685886,2022-2023,NA,county,COVID-19,14.337801799599534
Amador,7.099963101051476,38531,2022-2023,NA,county,COVID-19,10.559218391085642
Butte,11.362818702279975,217769,2022-2023,NA,county,COVID-19,12.291190146935717
Contra Costa,19.16320595660188,1160099,2022-2023,NA,county,COVID-19,13.964015904268472
Del Norte,15.082203490298241,27558,2022-2023,NA,county,COVID-19,10.224048153553849
El Dorado,13.177039598866426,193098,2022-2023,NA,county,COVID-19,12.170953111035159
Fresno,46.116807998193046,1032227,2022-2023,NA,county,COVID-19,13.847229162076028
Humboldt,11.255932591434325,134098,2022-2023,NA,county,COVID-19,11.80632615491545
Imperial,14.63383694650201,191649,2022-2023,NA,county,COVID-19,12.163420852950058
Inyo,0,18453,2022-2023,NA,county,COVID-19,9.822982237876477
Kern,7.130954952313539,927251,2022-2023,NA,county,COVID-19,13.73997957380906
Kings,13.347784164282528,156444,2022-2023,NA,county,COVID-19,11.96045339745078
Lake,8.436887484170885,64871,2022-2023,NA,county,COVID-19,11.080155961534562
Los Angeles,50.03590677878189,10257557,2022-2023,NA,county,COVID-19,16.143525260192618
Marin,13.117911923654301,260800,2022-2023,NA,county,COVID-19,12.471509109034635
Mendocino,10.072683666988302,88439,2022-2023,NA,county,COVID-19,11.390068327806597
Merced,15.651080661609285,287420,2022-2023,NA,county,COVID-19,12.568699839628238
Monterey,14.872339510274957,448732,2022-2023,NA,county,COVID-19,13.014181106559528
Napa,13.535379297731541,139652,2022-2023,NA,county,COVID-19,11.846908892788852
Nevada,8.282682143575093,98710,2022-2023,NA,county,COVID-19,11.499941537411933
Orange,10.712154559434095,3228519,2022-2023,NA,county,COVID-19,14.987534076117296
Placer,8.11548927925344,400434,2022-2023,NA,county,COVID-19,12.900304237903036
Riverside,7.167913989238118,2468145,2022-2023,NA,county,COVID-19,14.718977414307515
Sacramento,11.170757955246536,1567975,2022-2023,NA,county,COVID-19,14.265295535887834
