location,omega,pop,season,cadence,location_level,disease,log_pop
co,12.123628700709277,5758736,2022-2023,Daily,state,Influenza,15.566228564146174
ct,16.644738082970655,3565287,2022-2023,Daily,state,Influenza,15.086755113499024
dc,12.992435005910252,705749,2022-2023,Daily,state,Influenza,13.46701492918239
de,19.017732440473733,973764,2022-2023,Daily,state,Influenza,13.788924253470674
fl,21.81568365245543,21477737,2022-2023,Daily,state,Influenza,16.88252746823733
ga,12.998038762332786,10617423,2022-2023,Daily,state,Influenza,16.178006888965257
hi,12.783990518474585,1415872,2022-2023,Daily,state,Influenza,14.163256153669659
ia,19.381959388138892,3155070,2022-2023,Daily,state,Influenza,14.964521240716078
id,15.97596193987486,1787065,2022-2023,Daily,state,Influenza,14.396085167290911
il,25.910457857510572,12671821,2022-2023,Daily,state,Influenza,16.354891267305263
in,24.23816062903743,6732219,2022-2023,Daily,state,Influenza,15.722415364958001
ks,20.997977878036167,2913314,2022-2023,Daily,state,Influenza,14.884801822785983
ky,24.253857648020382,4467673,2022-2023,Daily,state,Influenza,15.312378249384595
la,16.072479148849183,4648794,2022-2023,Daily,state,Influenza,15.352118389086547
ma,29.39294179369639,6892503,2022-2023,Daily,state,Influenza,15.745944857135706
md,20.508688468235025,6045680,2022-2023,Daily,state,Influenza,15.61485452536542
me,19.66492816427834,1344212,2022-2023,Daily,state,Influenza,14.111318525721124
mi,27.218081783051506,9986857,2022-2023,Daily,state,Influenza,16.11678048650856
mn,25.134833359295172,5639632,2022-2023,Daily,state,Influenza,15.545329373118532
mo,27.159152339873483,6137428,2022-2023,Daily,state,Influenza,15.629916319855207
ms,13.582417488604614,2976149,2022-2023,Daily,state,Influenza,14.9061407408861
mt,14.928354869189187,1068778,2022-2023,Daily,state,Influenza,13.882026497720332
nc,20.61671789886922,10488084,2022-2023,Daily,state,Influenza,16.16575031354692
nd,11.991376946988163,762062,2022-2023,Daily,state,Influenza,13.543783196188242
ne,13.532456462464815,1934408,2022-2023,Daily,state,Influenza,14.47531189448341
nh,18.65922502529439,1359711,2022-2023,Daily,state,Influenza,14.12278273513091
nj,26.002259081573985,8882190,2022-2023,Daily,state,Influenza,15.999558706183862
nm,18.080170583052336,2096829,2022-2023,Daily,state,Influenza,14.5559367614947
nv,20.088970134525887,3080156,2022-2023,Daily,state,Influenza,14.940490803017772
ny,31.98218805188987,19453561,2022-2023,Daily,state,Influenza,16.783540696103653
oh,27.469013407411136,11689100,2022-2023,Daily,state,Influenza,16.27416734160507
ok,30.36254802148779,3956971,2022-2023,Daily,state,Influenza,15.190989391556274
or,29.449653186365776,4217737,2022-2023,Daily,state,Influenza,15.254809286251392
pa,24.66262789258907,12801989,2022-2023,Daily,state,Influenza,16.365111107442974
ri,13.568182745108281,1059361,2022-2023,Daily,state,Influenza,13.873176454124396
sc,14.465876836214553,5148714,2022-2023,Daily,state,Influenza,15.454257532719637
sd,13.045209037636262,884659,2022-2023,Daily,state,Influenza,13.692957539004349
tn,20.20593594915252,6829174,2022-2023,Daily,state,Influenza,15.73671428719104
tx,28.59782419987812,28995881,2022-2023,Daily,state,Influenza,17.182664343380136
us,36.454624024600925,328239523,2022-2023,Daily,state,Influenza,19.609254152892177
ut,12.624948291174809,3205958,2022-2023,Daily,state,Influenza,14.980521511629142
va,19.51098310796929,8535519,2022-2023,Daily,state,Influenza,15.959746720797773
vt,12.366072976172926,623989,2022-2023,Daily,state,Influenza,13.343888018991057
wa,24.129970298742876,7614893,2022-2023,Daily,state,Influenza,15.845616492997973
wi,21.113764093465047,5822434,2022-2023,Daily,state,Influenza,15.577228945339334
wv,20.03637585278075,1792147,2022-2023,Daily,state,Influenza,14.398924900402633
wy,10.639680218907987,578759,2022-2023,Daily,state,Influenza,13.268641435017608
ak,10.541398766009557,731545,2023-2024,Daily,state,Influenza,13.502914014980135
al,18.228291453119773,4903185,2023-2024,Daily,state,Influenza,15.405395551922352
ar,14.469964549891179,3017804,2023-2024,Daily,state,Influenza,14.920039972529695
az,29.50153350361019,7278717,2023-2024,Daily,state,Influenza,15.800465168377697
ca,28.507748488735775,39512223,2023-2024,Daily,state,Influenza,17.492120625041704
co,13.358498271168639,5758736,2023-2024,Daily,state,Influenza,15.566228564146174
ct,13.98437734276634,3565287,2023-2024,Daily,state,Influenza,15.086755113499024
dc,10.883019765741675,705749,2023-2024,Daily,state,Influenza,13.46701492918239
de,11.674853829978682,973764,2023-2024,Daily,state,Influenza,13.788924253470674
fl,20.55943592082573,21477737,2023-2024,Daily,state,Influenza,16.88252746823733
ga,20.54266101761283,10617423,2023-2024,Daily,state,Influenza,16.178006888965257
hi,11.623928244836378,1415872,2023-2024,Daily,state,Influenza,14.163256153669659
ia,13.175129548104758,3155070,2023-2024,Daily,state,Influenza,14.964521240716078
id,14.805220275825315,1787065,2023-2024,Daily,state,Influenza,14.396085167290911
il,17.66142719849225,12671821,2023-2024,Daily,state,Influenza,16.354891267305263
in,19.88027207727584,6732219,2023-2024,Daily,state,Influenza,15.722415364958001
ks,16.881621645183,2913314,2023-2024,Daily,state,Influenza,14.884801822785983
ky,16.60967818140048,4467673,2023-2024,Daily,state,Influenza,15.312378249384595
la,17.786816444468613,4648794,2023-2024,Daily,state,Influenza,15.352118389086547
ma,22.440800757634662,6892503,2023-2024,Daily,state,Influenza,15.745944857135706
md,22.539049583372726,6045680,2023-2024,Daily,state,Influenza,15.61485452536542
me,12.022361834456374,1344212,2023-2024,Daily,state,Influenza,14.111318525721124
mi,19.350458585032946,9986857,2023-2024,Daily,state,Influenza,16.11678048650856
mn,13.607679476773027,5639632,2023-2024,Daily,state,Influenza,15.545329373118532
mo,17.023602971813744,6137428,2023-2024,Daily,state,Influenza,15.629916319855207
ms,14.604150246456637,2976149,2023-2024,Daily,state,Influenza,14.9061407408861
mt,11.471279737480678,1068778,2023-2024,Daily,state,Influenza,13.882026497720332
nc,25.69672868299353,10488084,2023-2024,Daily,state,Influenza,16.16575031354692
nd,10.812027132950474,762062,2023-2024,Daily,state,Influenza,13.543783196188242
ne,12.874338844461796,1934408,2023-2024,Daily,state,Influenza,14.47531189448341
nh,12.740877712674958,1359711,2023-2024,Daily,state,Influenza,14.12278273513091
nj,23.934909107673196,8882190,2023-2024,Daily,state,Influenza,15.999558706183862
nm,15.214295731457616,2096829,2023-2024,Daily,state,Influenza,14.5559367614947
nv,16.73211287078027,3080156,2023-2024,Daily,state,Influenza,14.940490803017772
ny,22.586325045614707,19453561,2023-2024,Daily,state,Influenza,16.783540696103653
oh,21.527245829881636,11689100,2023-2024,Daily,state,Influenza,16.27416734160507
ok,18.769081249191366,3956971,2023-2024,Daily,state,Influenza,15.190989391556274
or,11.809678309660788,4217737,2023-2024,Daily,state,Influenza,15.254809286251392
pa,18.163101414693173,12801989,2023-2024,Daily,state,Influenza,16.365111107442974
ri,11.14931726355859,1059361,2023-2024,Daily,state,Influenza,13.873176454124396
sc,25.863592943972602,5148714,2023-2024,Daily,state,Influenza,15.454257532719637
sd,13.282544801827589,884659,2023-2024,Daily,state,Influenza,13.692957539004349
tn,18.074433971142835,6829174,2023-2024,Daily,state,Influenza,15.73671428719104
tx,26.054694822151824,28995881,2023-2024,Daily,state,Influenza,17.182664343380136
us,37.060790084339466,328239523,2023-2024,Daily,state,Influenza,19.609254152892177
ut,11.753447468535494,3205958,2023-2024,Daily,state,Influenza,14.980521511629142
va,22.64658762856605,8535519,2023-2024,Daily,state,Influenza,15.959746720797773
vt,10.995502902678622,623989,2023-2024,Daily,state,Influenza,13.343888018991057
wa,14.514525979157533,7614893,2023-2024,Daily,state,Influenza,15.845616492997973
wi,13.592309437529549,5822434,2023-2024,Daily,state,Influenza,15.577228945339334
wv,14.471770862312749,1792147,2023-2024,Daily,state,Influenza,14.398924900402633
wy,12.666242747047052,578759,2023-2024,Daily,state,Influenza,13.268641435017608
Alameda,8.446036517196697,1685886,2022-2024,NA,county,Influenza,14.337801799599534
Butte,10.646087974654106,217769,2022-2024,NA,county,Influenza,12.291190146935717
Contra Costa,6.246985405398108,1160099,2022-2024,NA,county,Influenza,13.964015904268472
El Dorado,8.396317184832503,193098,2022-2024,NA,county,Influenza,12.170953111035159
Fresno,16.883070663517884,1032227,2022-2024,NA,county,Influenza,13.847229162076028
Imperial,11.325892839841822,191649,2022-2024,NA,county,Influenza,12.163420852950058
Kern,7.5518647204980365,927251,2022-2024,NA,county,Influenza,13.73997957380906
Kings,7.296302781015262,156444,2022-2024,NA,county,Influenza,11.96045339745078
Los Angeles,10.481884385851137,10257557,2022-2024,NA,county,Influenza,16.143525260192618
Marin,9.295482121003229,260800,2022-2024,NA,county,Influenza,12.471509109034635
Merced,10.857344393402691,287420,2022-2024,NA,county,Influenza,12.568699839628238
Monterey,5.640237232397272,448732,2022-2024,NA,county,Influenza,13.014181106559528
Napa,13.28688557424087,139652,2022-2024,NA,county,Influenza,11.846908892788852
Orange,37.03588619555153,3228519,2022-2024,NA,county,Influenza,14.987534076117296
Placer,6.836665417663701,400434,2022-2024,NA,county,Influenza,12.900304237903036
Riverside,27.835775819403075,2468145,2022-2024,NA,county,Influenza,14.718977414307515
Sacramento,36.541413555961135,1567975,2022-2024,NA,county,Influenza,14.265295535887834
San Bernardino,35.7653394213432,2217398,2022-2024,NA,county,Influenza,14.611844994362734
San Diego,9.682961188461336,3370418,2022-2024,NA,county,Influenza,15.030547330245073
San Francisco,19.79683293403206,892280,2022-2024,NA,county,Influenza,13.701535263650719
San Joaquin,9.8429030253672,782545,2022-2024,NA,county,Influenza,13.570306707730145
San Luis Obispo,10.17747529719777,278862,2022-2024,NA,county,Influenza,12.538472314780956
San Mateo,9.35869620903188,778001,2022-2024,NA,county,Influenza,13.564483088506746
Santa Barbara,25.853666914141005,456373,2022-2024,NA,county,Influenza,13.031065736587339
Santa Clara,27.833320939136907,1967585,2022-2024,NA,county,Influenza,14.49231746037355
Shasta,10.324768719923117,177925,2022-2024,NA,county,Influenza,12.089117392167472
Solano,9.448970832648197,444255,2022-2024,NA,county,Influenza,13.004154000877591
Sonoma,3.5206710195916258,496668,2022-2024,NA,county,Influenza,13.115677073813687
Stanislaus,8.50421388932816,562303,2022-2024,NA,county,Influenza,13.239796129496366
Tehama,9.086151922779074,65885,2022-2024,NA,county,Influenza,11.095666076979352
Tulare,7.9632247617654865,484423,2022-2024,NA,county,Influenza,13.090713770954181
Tuolumne,17.74185504397017,52351,2022-2024,NA,county,Influenza,10.86572631831299
Ventura,10.591826490140477,852747,2022-2024,NA,county,Influenza,13.656218182244801
Yolo,9.440258930238842,223612,2022-2024,NA,county,Influenza,12.317667686086015
Yuba,10.7721588141243,79290,2022-2024,NA,county,Influenza,11.280867296266445
Alameda,8.912636372275173,1685886,2022-2023,NA,county,Influenza,14.337801799599534
Butte,5.938034089872469,217769,2022-2023,NA,county,Influenza,12.291190146935717
Contra Costa,5.882467908390332,1160099,2022-2023,NA,county,Influenza,13.964015904268472
El Dorado,6.651394152538281,193098,2022-2023,NA,county,Influenza,12.170953111035159
Fresno,9.83275513458386,1032227,2022-2023,NA,county,Influenza,13.847229162076028
Imperial,9.773699970208538,191649,2022-2023,NA,county,Influenza,12.163420852950058
Kern,13.661754630824296,927251,2022-2023,NA,county,Influenza,13.73997957380906
Kings,10.175787632475963,156444,2022-2023,NA,county,Influenza,11.96045339745078
Los Angeles,12.11405032932814,10257557,2022-2023,NA,county,Influenza,16.143525260192618
Marin,7.015696319467746,260800,2022-2023,NA,county,Influenza,12.471509109034635
Merced,8.510998095701861,287420,2022-2023,NA,county,Influenza,12.568699839628238
Monterey,5.84340823934586,448732,2022-2023,NA,county,Influenza,13.014181106559528
Napa,7.942293180350724,139652,2022-2023,NA,county,Influenza,11.846908892788852
Orange,8.700035147914075,3228519,2022-2023,NA,county,Influenza,14.987534076117296
Placer,5.568298485723499,400434,2022-2023,NA,county,Influenza,12.900304237903036
Riverside,4.058148005406991,2468145,2022-2023,NA,county,Influenza,14.718977414307515
Sacramento,18.84946487527649,1567975,2022-2023,NA,county,Influenza,14.265295535887834
San Bernardino,9.853755545894371,2217398,2022-2023,NA,county,Influenza,14.611844994362734
San Diego,12.877107923641617,3370418,2022-2023,NA,county,Influenza,15.030547330245073
San Francisco,13.930169185858398,892280,2022-2023,NA,county,Influenza,13.701535263650719
San Joaquin,11.913040780697127,782545,2022-2023,NA,county,Influenza,13.570306707730145
San Luis Obispo,10.823767904377268,278862,2022-2023,NA,county,Influenza,12.538472314780956
San Mateo,8.39451507577702,778001,2022-2023,NA,county,Influenza,13.564483088506746
Santa Barbara,11.768815033144964,456373,2022-2023,NA,county,Influenza,13.031065736587339
Santa Clara,9.384912071079377,1967585,2022-2023,NA,county,Influenza,14.49231746037355
Shasta,7.901656621506403,177925,2022-2023,NA,county,Influenza,12.089117392167472
Solano,6.219213459559048,444255,2022-2023,NA,county,Influenza,13.004154000877591
Sonoma,2.41395448059738,496668,2022-2023,NA,county,Influenza,13.115677073813687
Stanislaus,13.057827155070523,562303,2022-2023,NA,county,Influenza,13.239796129496366
Tehama,7.430575777316495,65885,2022-2023,NA,county,Influenza,11.095666076979352
Tulare,3.912282834605507,484423,2022-2023,NA,county,Influenza,13.090713770954181
Tuolumne,7.919874251499792,52351,2022-2023,NA,county,Influenza,10.86572631831299
Ventura,4.712521718541652,852747,2022-2023,NA,county,Influenza,13.656218182244801
Yolo,12.670953747656599,223612,2022-2023,NA,county,Influenza,12.317667686086015
Yuba,8.747537331527433,79290,2022-2023,NA,county,Influenza,11.280867296266445
Alameda,4.623063136111671,1685886,2023-2024,NA,county,Influenza,14.337801799599534
Butte,17.289125446025388,217769,2023-2024,NA,county,Influenza,12.291190146935717
Contra Costa,7.275657763264709,1160099,2023-2024,NA,county,Influenza,13.964015904268472
El Dorado,6.447077870869444,193098,2023-2024,NA,county,Influenza,12.170953111035159
Fresno,6.497461681771699,1032227,2023-2024,NA,county,Influenza,13.847229162076028
Imperial,14.398186781409539,191649,2023-2024,NA,county,Influenza,12.163420852950058
Kern,13.88166779488429,927251,2023-2024,NA,county,Influenza,13.73997957380906
Kings,13.044207094430348,156444,2023-2024,NA,county,Influenza,11.96045339745078
Los Angeles,8.473901791484728,10257557,2023-2024,NA,county,Influenza,16.143525260192618
Marin,19.684193538874194,260800,2023-2024,NA,county,Influenza,12.471509109034635
Merced,18.95539691182172,287420,2023-2024,NA,county,Influenza,12.568699839628238
Monterey,11.652571874998884,448732,2023-2024,NA,county,Influenza,13.014181106559528
Napa,13.901796024215551,139652,2023-2024,NA,county,Influenza,11.846908892788852
Orange,20.48305168176151,3228519,2023-2024,NA,county,Influenza,14.987534076117296
Placer,6.127843512307418,400434,2023-2024,NA,county,Influenza,12.900304237903036
Riverside,9.479213624430505,2468145,2023-2024,NA,county,Influenza,14.718977414307515
Sacramento,10.717566630312604,1567975,2023-2024,NA,county,Influenza,14.265295535887834
San Bernardino,11.85205300145088,2217398,2023-2024,NA,county,Influenza,14.611844994362734
San Diego,6.234072340278551,3370418,2023-2024,NA,county,Influenza,15.030547330245073
San Francisco,33.069847138717655,892280,2023-2024,NA,county,Influenza,13.701535263650719
San Joaquin,7.425680165413517,782545,2023-2024,NA,county,Influenza,13.570306707730145
San Luis Obispo,8.03185332967632,278862,2023-2024,NA,county,Influenza,12.538472314780956
San Mateo,8.523570210889254,778001,2023-2024,NA,county,Influenza,13.564483088506746
Santa Barbara,7.588444368970448,456373,2023-2024,NA,county,Influenza,13.031065736587339
Santa Clara,7.132872698589033,1967585,2023-2024,NA,county,Influenza,14.49231746037355
Shasta,23.16854353998107,177925,2023-2024,NA,county,Influenza,12.089117392167472
Solano,6.872784271883415,444255,2023-2024,NA,county,Influenza,13.004154000877591
Sonoma,10.122170788972419,496668,2023-2024,NA,county,Influenza,13.115677073813687
Stanislaus,6.469185567043789,562303,2023-2024,NA,county,Influenza,13.239796129496366
Tehama,17.473413852616105,65885,2023-2024,NA,county,Influenza,11.095666076979352
Tulare,9.264489589834113,484423,2023-2024,NA,county,Influenza,13.090713770954181
Tuolumne,3.9643501534132097,52351,2023-2024,NA,county,Influenza,10.86572631831299
Ventura,7.875206722262118,852747,2023-2024,NA,county,Influenza,13.656218182244801
Yolo,18.628735698201716,223612,2023-2024,NA,county,Influenza,12.317667686086015
Yuba,17.77912747006808,79290,2023-2024,NA,county,Influenza,11.280867296266445
