geo_value,time_value,weekly_hosp
Amador,2020-05-09,0
Amador,2020-05-16,0
Amador,2020-05-23,0
Amador,2020-05-30,0
Amador,2020-06-06,0
Amador,2020-06-13,0
Amador,2020-06-20,0
Amador,2020-06-27,0
Amador,2020-07-04,0
Amador,2020-07-11,0
Amador,2020-07-18,0
Amador,2020-07-25,4
Amador,2020-08-01,6
Amador,2020-08-08,0
Amador,2020-08-15,0
Amador,2020-08-22,0
Amador,2020-08-29,0
Amador,2020-09-05,0
Amador,2020-09-12,0
Amador,2020-09-19,0
Amador,2020-09-26,0
Amador,2020-10-03,0
Amador,2020-10-10,0
Amador,2020-10-17,0
Amador,2020-10-24,0
Amador,2020-10-31,0
Amador,2020-11-07,4
Amador,2020-11-14,0
Amador,2020-11-21,0
Amador,2020-11-28,4
Amador,2020-12-05,12
Amador,2020-12-12,10
Amador,2020-12-19,10
Amador,2020-12-26,10
Amador,2021-01-02,4
Amador,2021-01-09,4
Amador,2021-01-16,0
Amador,2021-01-23,4
Amador,2021-01-30,0
Amador,2021-02-06,0
Amador,2021-02-13,5
Amador,2021-02-20,0
Amador,2021-02-27,0
Amador,2021-03-06,0
Amador,2021-03-13,0
Amador,2021-03-20,0
Amador,2021-03-27,0
Amador,2021-04-03,0
Amador,2021-04-10,0
Amador,2021-04-17,0
Amador,2021-04-24,0
Amador,2021-05-01,0
Amador,2021-05-08,0
Amador,2021-05-15,0
Amador,2021-05-22,0
Amador,2021-05-29,0
Amador,2021-06-05,0
Amador,2021-06-12,0
Amador,2021-06-19,0
Amador,2021-06-26,0
Amador,2021-07-03,0
Amador,2021-07-10,0
Amador,2021-07-17,0
Amador,2021-07-24,8
Amador,2021-07-31,12
Amador,2021-08-07,7
Amador,2021-08-14,9
Amador,2021-08-21,8
Amador,2021-08-28,8
Amador,2021-09-04,4
Amador,2021-09-11,7
Amador,2021-09-18,6
Amador,2021-09-25,6
Amador,2021-10-02,0
Amador,2021-10-09,0
Amador,2021-10-16,0
Amador,2021-10-23,0
Amador,2021-10-30,7
Amador,2021-11-06,0
Amador,2021-11-13,0
Amador,2021-11-20,0
Amador,2021-11-27,0
Amador,2021-12-04,4
Amador,2021-12-11,0
Amador,2021-12-18,6
Amador,2021-12-25,0
Amador,2022-01-01,0
Amador,2022-01-08,8
Amador,2022-01-15,15
Amador,2022-01-22,14
Amador,2022-01-29,10
Amador,2022-02-05,10
Amador,2022-02-12,0
Amador,2022-02-19,5
Amador,2022-02-26,0
Amador,2022-03-05,0
Amador,2022-03-12,0
Amador,2022-03-19,0
Amador,2022-03-26,0
Amador,2022-04-02,0
Amador,2022-04-09,0
Amador,2022-04-16,0
Amador,2022-04-23,0
Amador,2022-04-30,0
Amador,2022-05-07,0
Amador,2022-05-14,0
Amador,2022-05-21,0
Amador,2022-05-28,0
Amador,2022-06-04,0
Amador,2022-06-11,0
Amador,2022-06-18,5
Amador,2022-06-25,5
Amador,2022-07-02,0
Amador,2022-07-09,0
Amador,2022-07-16,5
Amador,2022-07-23,5
Amador,2022-07-30,4
Amador,2022-08-06,4
Amador,2022-08-13,0
Amador,2022-08-20,5
Amador,2022-08-27,4
Amador,2022-09-03,0
Amador,2022-09-10,0
Amador,2022-09-17,0
Amador,2022-09-24,0
Amador,2022-10-01,0
Amador,2022-10-08,0
Amador,2022-10-15,0
Amador,2022-10-22,0
Amador,2022-10-29,0
Amador,2022-11-05,0
Amador,2022-11-12,0
Amador,2022-11-19,6
Amador,2022-11-26,5
Amador,2022-12-03,0
Amador,2022-12-10,5
Amador,2022-12-17,9
Amador,2022-12-24,6
Amador,2022-12-31,0
Amador,2023-01-07,4
Amador,2023-01-14,0
Amador,2023-01-21,4
Amador,2023-01-28,0
Amador,2023-02-04,0
Amador,2023-02-11,4
Amador,2023-02-18,0
Amador,2023-02-25,4
Amador,2023-03-04,0
Amador,2023-03-11,0
Amador,2023-03-18,0
Amador,2023-03-25,0
Amador,2023-04-01,0
Amador,2023-04-08,0
Amador,2023-04-15,5
Amador,2023-04-22,0
Amador,2023-04-29,0
Amador,2023-05-06,0
Amador,2023-05-13,0
Amador,2023-05-20,0
Amador,2023-05-27,0
Amador,2023-06-03,0
Amador,2023-06-10,7
Amador,2023-06-17,0
Amador,2023-06-24,4
Amador,2023-07-01,0
Amador,2023-07-08,4
Amador,2023-07-15,0
Amador,2023-07-22,0
Amador,2023-07-29,0
Amador,2023-08-05,4
Amador,2023-08-12,0
Amador,2023-08-19,6
Amador,2023-08-26,4
Amador,2023-09-02,0
Amador,2023-09-09,5
Amador,2023-09-16,0
Amador,2023-09-23,0
Amador,2023-09-30,0
Amador,2023-10-07,0
Amador,2023-10-14,4
Amador,2023-10-21,0
Amador,2023-10-28,0
Amador,2023-11-04,4
Amador,2023-11-11,0
Amador,2023-11-18,0
Amador,2023-11-25,4
Amador,2023-12-02,0
Amador,2023-12-09,6
Amador,2023-12-16,4
Amador,2023-12-23,0
Amador,2023-12-30,0
Amador,2024-01-06,4
Amador,2024-01-13,0
Amador,2024-01-20,0
Amador,2024-01-27,4
Amador,2024-02-03,0
Amador,2024-02-10,0
Amador,2024-02-17,0
Amador,2024-02-24,0
Amador,2024-03-02,0
Amador,2024-03-09,7
Amador,2024-03-16,0
Amador,2024-03-23,0
Amador,2024-03-30,0
Amador,2024-04-06,0
Amador,2024-04-13,0
Amador,2024-04-20,0
Butte,2020-03-28,0
Butte,2020-04-04,0
Butte,2020-04-11,0
Butte,2020-04-18,0
Butte,2020-04-25,0
Butte,2020-05-02,0
Butte,2020-05-09,0
Butte,2020-05-16,0
Butte,2020-05-23,0
Butte,2020-05-30,0
Butte,2020-06-06,0
Butte,2020-06-13,0
Butte,2020-06-20,0
Butte,2020-06-27,0
Butte,2020-07-04,0
Butte,2020-07-11,14
Butte,2020-07-18,29
Butte,2020-07-25,25
Butte,2020-08-01,26
Butte,2020-08-08,18
Butte,2020-08-15,22
Butte,2020-08-22,15
Butte,2020-08-29,15
Butte,2020-09-05,18
Butte,2020-09-12,20
Butte,2020-09-19,6
Butte,2020-09-26,13
Butte,2020-10-03,0
Butte,2020-10-10,0
Butte,2020-10-17,0
Butte,2020-10-24,8
Butte,2020-10-31,11
Butte,2020-11-07,21
Butte,2020-11-14,35
Butte,2020-11-21,52
Butte,2020-11-28,55
Butte,2020-12-05,64
Butte,2020-12-12,94
Butte,2020-12-19,100
Butte,2020-12-26,91
Butte,2021-01-02,97
Butte,2021-01-09,81
Butte,2021-01-16,54
Butte,2021-01-23,42
Butte,2021-01-30,34
Butte,2021-02-06,23
Butte,2021-02-13,6
Butte,2021-02-20,22
Butte,2021-02-27,10
Butte,2021-03-06,13
Butte,2021-03-13,14
Butte,2021-03-20,14
Butte,2021-03-27,12
Butte,2021-04-03,6
Butte,2021-04-10,7
Butte,2021-04-17,16
Butte,2021-04-24,13
Butte,2021-05-01,10
Butte,2021-05-08,16
Butte,2021-05-15,6
Butte,2021-05-22,5
Butte,2021-05-29,9
Butte,2021-06-05,10
Butte,2021-06-12,5
Butte,2021-06-19,6
Butte,2021-06-26,0
Butte,2021-07-03,16
Butte,2021-07-10,11
Butte,2021-07-17,7
Butte,2021-07-24,37
Butte,2021-07-31,46
Butte,2021-08-07,74
Butte,2021-08-14,72
Butte,2021-08-21,91
Butte,2021-08-28,113
Butte,2021-09-04,98
Butte,2021-09-11,99
Butte,2021-09-18,86
Butte,2021-09-25,57
Butte,2021-10-02,52
Butte,2021-10-09,42
Butte,2021-10-16,43
Butte,2021-10-23,48
Butte,2021-10-30,51
Butte,2021-11-06,31
Butte,2021-11-13,34
Butte,2021-11-20,31
Butte,2021-11-27,32
Butte,2021-12-04,26
Butte,2021-12-11,21
Butte,2021-12-18,26
Butte,2021-12-25,46
Butte,2022-01-01,49
Butte,2022-01-08,80
Butte,2022-01-15,73
Butte,2022-01-22,109
Butte,2022-01-29,79
Butte,2022-02-05,52
Butte,2022-02-12,43
Butte,2022-02-19,43
Butte,2022-02-26,29
Butte,2022-03-05,31
Butte,2022-03-12,24
Butte,2022-03-19,17
Butte,2022-03-26,5
Butte,2022-04-02,0
Butte,2022-04-09,0
Butte,2022-04-16,0
Butte,2022-04-23,0
Butte,2022-04-30,0
Butte,2022-05-07,4
Butte,2022-05-14,10
Butte,2022-05-21,13
Butte,2022-05-28,25
Butte,2022-06-04,32
Butte,2022-06-11,32
Butte,2022-06-18,30
Butte,2022-06-25,19
Butte,2022-07-02,29
Butte,2022-07-09,29
Butte,2022-07-16,33
Butte,2022-07-23,33
Butte,2022-07-30,32
Butte,2022-08-06,29
Butte,2022-08-13,19
Butte,2022-08-20,22
Butte,2022-08-27,29
Butte,2022-09-03,16
Butte,2022-09-10,18
Butte,2022-09-17,24
Butte,2022-09-24,14
Butte,2022-10-01,8
Butte,2022-10-08,4
Butte,2022-10-15,7
Butte,2022-10-22,10
Butte,2022-10-29,15
Butte,2022-11-05,15
Butte,2022-11-12,21
Butte,2022-11-19,32
Butte,2022-11-26,45
Butte,2022-12-03,45
Butte,2022-12-10,29
Butte,2022-12-17,38
Butte,2022-12-24,40
Butte,2022-12-31,29
Butte,2023-01-07,18
Butte,2023-01-14,14
Butte,2023-01-21,19
Butte,2023-01-28,10
Butte,2023-02-04,25
Butte,2023-02-11,4
Butte,2023-02-18,15
Butte,2023-02-25,18
Butte,2023-03-04,8
Butte,2023-03-11,5
Butte,2023-03-18,7
Butte,2023-03-25,0
Butte,2023-04-01,6
Butte,2023-04-08,6
Butte,2023-04-15,10
Butte,2023-04-22,19
Butte,2023-04-29,12
Butte,2023-05-06,0
Butte,2023-05-13,9
Butte,2023-05-20,4
Butte,2023-05-27,0
Butte,2023-06-03,0
Butte,2023-06-10,0
Butte,2023-06-17,0
Butte,2023-06-24,5
Butte,2023-07-01,0
Butte,2023-07-08,0
Butte,2023-07-15,4
Butte,2023-07-22,9
Butte,2023-07-29,4
Butte,2023-08-05,10
Butte,2023-08-12,26
Butte,2023-08-19,20
Butte,2023-08-26,20
Butte,2023-09-02,34
Butte,2023-09-09,15
Butte,2023-09-16,22
Butte,2023-09-23,25
Butte,2023-09-30,15
Butte,2023-10-07,15
Butte,2023-10-14,12
Butte,2023-10-21,17
Butte,2023-10-28,18
Butte,2023-11-04,23
Butte,2023-11-11,22
Butte,2023-11-18,15
Butte,2023-11-25,15
Butte,2023-12-02,13
Butte,2023-12-09,13
Butte,2023-12-16,24
Butte,2023-12-23,19
Butte,2023-12-30,8
Butte,2024-01-06,5
Butte,2024-01-13,6
Butte,2024-01-20,15
Butte,2024-01-27,10
Butte,2024-02-03,8
Butte,2024-02-10,15
Butte,2024-02-17,13
Butte,2024-02-24,9
Butte,2024-03-02,5
Butte,2024-03-09,0
Butte,2024-03-16,0
Butte,2024-03-23,0
Butte,2024-03-30,0
Butte,2024-04-06,0
Butte,2024-04-13,0
Butte,2024-04-20,0
Calaveras,2020-03-21,0
Calaveras,2020-03-28,0
Calaveras,2020-04-04,0
Calaveras,2020-04-11,0
Calaveras,2020-04-18,0
Calaveras,2020-04-25,0
Calaveras,2020-05-02,0
Calaveras,2020-05-09,0
Calaveras,2020-05-16,0
Calaveras,2020-05-23,0
Calaveras,2020-05-30,0
Calaveras,2020-06-06,0
Calaveras,2020-06-13,0
Calaveras,2020-06-20,0
Calaveras,2020-06-27,0
Calaveras,2020-07-04,0
Calaveras,2020-07-11,0
Calaveras,2020-07-18,0
Calaveras,2020-07-25,0
Calaveras,2020-08-01,0
Calaveras,2020-08-08,26
Calaveras,2020-08-15,0
Calaveras,2020-08-22,0
Calaveras,2020-08-29,0
Calaveras,2020-09-05,0
Calaveras,2020-09-12,0
Calaveras,2020-09-19,0
Calaveras,2020-09-26,0
Calaveras,2020-10-03,0
Calaveras,2020-10-10,0
Calaveras,2020-10-17,0
Calaveras,2020-10-24,0
Calaveras,2020-10-31,0
Calaveras,2020-11-07,0
Calaveras,2020-11-14,0
Calaveras,2020-11-21,0
Calaveras,2020-11-28,5
Calaveras,2020-12-05,5
Calaveras,2020-12-12,5
Calaveras,2020-12-19,4
Calaveras,2020-12-26,6
Calaveras,2021-01-02,10
Calaveras,2021-01-09,5
Calaveras,2021-01-16,0
Calaveras,2021-01-23,0
Calaveras,2021-01-30,6
Calaveras,2021-02-06,0
Calaveras,2021-02-13,0
Calaveras,2021-02-20,0
Calaveras,2021-02-27,0
Calaveras,2021-03-06,0
Calaveras,2021-03-13,0
Calaveras,2021-03-20,0
Calaveras,2021-03-27,0
Calaveras,2021-04-03,0
Calaveras,2021-04-10,0
Calaveras,2021-04-17,0
Calaveras,2021-04-24,0
Calaveras,2021-05-01,0
Calaveras,2021-05-08,0
Calaveras,2021-05-15,0
Calaveras,2021-05-22,0
Calaveras,2021-05-29,0
Calaveras,2021-06-05,0
Calaveras,2021-06-12,0
Calaveras,2021-06-19,0
Calaveras,2021-06-26,0
Calaveras,2021-07-03,0
Calaveras,2021-07-10,0
Calaveras,2021-07-17,0
Calaveras,2021-07-24,0
Calaveras,2021-07-31,0
Calaveras,2021-08-07,4
Calaveras,2021-08-14,4
Calaveras,2021-08-21,7
Calaveras,2021-08-28,5
Calaveras,2021-09-04,4
Calaveras,2021-09-11,0
Calaveras,2021-09-18,0
Calaveras,2021-09-25,0
Calaveras,2021-10-02,0
Calaveras,2021-10-09,0
Calaveras,2021-10-16,0
Calaveras,2021-10-23,0
Calaveras,2021-10-30,5
Calaveras,2021-11-06,0
Calaveras,2021-11-13,0
Calaveras,2021-11-20,0
Calaveras,2021-11-27,0
Calaveras,2021-12-04,0
Calaveras,2021-12-11,4
Calaveras,2021-12-18,0
Calaveras,2021-12-25,0
Calaveras,2022-01-01,0
Calaveras,2022-01-08,0
Calaveras,2022-01-15,0
Calaveras,2022-01-22,5
Calaveras,2022-01-29,4
Calaveras,2022-02-05,8
Calaveras,2022-02-12,4
Calaveras,2022-02-19,0
Calaveras,2022-02-26,0
Calaveras,2022-03-05,0
Calaveras,2022-03-12,0
Calaveras,2022-03-19,0
Calaveras,2022-03-26,0
Calaveras,2022-04-02,0
Calaveras,2022-04-09,0
Calaveras,2022-04-16,0
Calaveras,2022-04-23,0
Calaveras,2022-04-30,0
Calaveras,2022-05-07,0
Calaveras,2022-05-14,0
Calaveras,2022-05-21,0
Calaveras,2022-05-28,0
Calaveras,2022-06-04,0
Calaveras,2022-06-11,0
Calaveras,2022-06-18,0
Calaveras,2022-06-25,0
Calaveras,2022-07-02,0
Calaveras,2022-07-09,0
Calaveras,2022-07-16,0
Calaveras,2022-07-23,0
Calaveras,2022-07-30,0
Calaveras,2022-08-06,0
Calaveras,2022-08-13,0
Calaveras,2022-08-20,0
Calaveras,2022-08-27,0
Calaveras,2022-09-03,0
Calaveras,2022-09-10,0
Calaveras,2022-09-17,0
Calaveras,2022-09-24,0
Calaveras,2022-10-01,0
Calaveras,2022-10-08,0
Calaveras,2022-10-15,0
Calaveras,2022-10-22,0
Calaveras,2022-10-29,0
Calaveras,2022-11-05,0
Calaveras,2022-11-12,0
Calaveras,2022-11-19,0
Calaveras,2022-11-26,0
Calaveras,2022-12-03,0
Calaveras,2022-12-10,0
Calaveras,2022-12-17,0
Calaveras,2022-12-24,0
Calaveras,2022-12-31,0
Calaveras,2023-01-07,0
Calaveras,2023-01-14,0
Calaveras,2023-01-21,0
Calaveras,2023-01-28,0
Calaveras,2023-02-04,0
Calaveras,2023-02-11,0
Calaveras,2023-02-18,0
Calaveras,2023-02-25,0
Calaveras,2023-03-04,0
Calaveras,2023-03-11,0
Calaveras,2023-03-18,0
Calaveras,2023-03-25,0
Calaveras,2023-04-01,0
Calaveras,2023-04-08,0
Calaveras,2023-04-15,0
Calaveras,2023-04-22,0
Calaveras,2023-04-29,0
Calaveras,2023-05-06,0
Calaveras,2023-05-13,0
Calaveras,2023-05-20,0
Calaveras,2023-05-27,0
Calaveras,2023-06-03,0
Calaveras,2023-06-10,0
Calaveras,2023-06-17,0
Calaveras,2023-06-24,0
Calaveras,2023-07-01,0
Calaveras,2023-07-08,0
Calaveras,2023-07-15,0
Calaveras,2023-07-22,0
Calaveras,2023-07-29,0
Calaveras,2023-08-05,0
Calaveras,2023-08-12,0
Calaveras,2023-08-19,0
Calaveras,2023-08-26,0
Calaveras,2023-09-02,0
Calaveras,2023-09-09,0
Calaveras,2023-09-16,0
Calaveras,2023-09-23,0
Calaveras,2023-09-30,0
Calaveras,2023-10-07,0
Calaveras,2023-10-14,0
Calaveras,2023-10-21,0
Calaveras,2023-10-28,0
Calaveras,2023-11-04,0
Calaveras,2023-11-11,0
Calaveras,2023-11-18,0
Calaveras,2023-11-25,0
Calaveras,2023-12-02,0
Calaveras,2023-12-09,0
Calaveras,2023-12-16,0
Calaveras,2023-12-23,0
Calaveras,2023-12-30,0
Calaveras,2024-01-06,0
Calaveras,2024-01-13,0
Calaveras,2024-01-20,0
Calaveras,2024-01-27,0
Calaveras,2024-02-03,0
Calaveras,2024-02-10,0
Calaveras,2024-02-17,0
Calaveras,2024-02-24,0
Calaveras,2024-03-02,0
Calaveras,2024-03-09,0
Calaveras,2024-03-16,0
Calaveras,2024-03-23,0
Calaveras,2024-03-30,0
Calaveras,2024-04-06,0
Calaveras,2024-04-13,0
Calaveras,2024-04-20,0
Colusa,2020-03-28,0
Colusa,2020-04-04,0
Colusa,2020-04-11,0
Colusa,2020-04-18,0
Colusa,2020-04-25,0
Colusa,2020-05-02,0
Colusa,2020-05-09,0
Colusa,2020-05-16,0
Colusa,2020-05-23,0
Colusa,2020-05-30,0
Colusa,2020-06-06,0
Colusa,2020-06-13,0
Colusa,2020-06-20,0
Colusa,2020-06-27,0
Colusa,2020-07-04,0
Colusa,2020-07-11,0
Colusa,2020-07-18,0
Colusa,2020-07-25,0
Colusa,2020-08-01,6
Colusa,2020-08-08,0
Colusa,2020-08-15,0
Colusa,2020-08-22,10
Colusa,2020-08-29,0
Colusa,2020-09-05,0
Colusa,2020-09-12,0
Colusa,2020-09-19,0
Colusa,2020-09-26,4
Colusa,2020-10-03,0
Colusa,2020-10-10,0
Colusa,2020-10-17,0
Colusa,2020-10-24,0
Colusa,2020-10-31,0
Colusa,2020-11-07,4
Colusa,2020-11-14,0
Colusa,2020-11-21,8
Colusa,2020-11-28,0
Colusa,2020-12-05,0
Colusa,2020-12-12,8
Colusa,2020-12-19,8
Colusa,2020-12-26,4
Colusa,2021-01-02,11
Colusa,2021-01-09,19
Colusa,2021-01-16,9
Colusa,2021-01-23,6
Colusa,2021-01-30,4
Colusa,2021-02-06,0
Colusa,2021-02-13,8
Colusa,2021-02-20,0
Colusa,2021-02-27,0
Colusa,2021-03-06,0
Colusa,2021-03-13,0
Colusa,2021-03-20,0
Colusa,2021-03-27,0
Colusa,2021-04-03,0
Colusa,2021-04-10,0
Colusa,2021-04-17,0
Colusa,2021-04-24,0
Colusa,2021-05-01,0
Colusa,2021-05-08,0
Colusa,2021-05-15,0
Colusa,2021-05-22,0
Colusa,2021-05-29,0
Colusa,2021-06-05,4
Colusa,2021-06-12,0
Colusa,2021-06-19,0
Colusa,2021-06-26,0
Colusa,2021-07-03,0
Colusa,2021-07-10,0
Colusa,2021-07-17,0
Colusa,2021-07-24,0
Colusa,2021-07-31,4
Colusa,2021-08-07,6
Colusa,2021-08-14,6
Colusa,2021-08-21,4
Colusa,2021-08-28,4
Colusa,2021-09-04,7
Colusa,2021-09-11,0
Colusa,2021-09-18,0
Colusa,2021-09-25,0
Colusa,2021-10-02,0
Colusa,2021-10-09,0
Colusa,2021-10-16,0
Colusa,2021-10-23,0
Colusa,2021-10-30,0
Colusa,2021-11-06,0
Colusa,2021-11-13,0
Colusa,2021-11-20,0
Colusa,2021-11-27,0
Colusa,2021-12-04,0
Colusa,2021-12-11,5
Colusa,2021-12-18,0
Colusa,2021-12-25,6
Colusa,2022-01-01,7
Colusa,2022-01-08,0
Colusa,2022-01-15,6
Colusa,2022-01-22,9
Colusa,2022-01-29,7
Colusa,2022-02-05,0
Colusa,2022-02-12,0
Colusa,2022-02-19,4
Colusa,2022-02-26,7
Colusa,2022-03-05,0
Colusa,2022-03-12,0
Colusa,2022-03-19,0
Colusa,2022-03-26,0
Colusa,2022-04-02,0
Colusa,2022-04-09,0
Colusa,2022-04-16,0
Colusa,2022-04-23,0
Colusa,2022-04-30,0
Colusa,2022-05-07,0
Colusa,2022-05-14,0
Colusa,2022-05-21,0
Colusa,2022-05-28,4
Colusa,2022-06-04,0
Colusa,2022-06-11,5
Colusa,2022-06-18,9
Colusa,2022-06-25,6
Colusa,2022-07-02,0
Colusa,2022-07-09,0
Colusa,2022-07-16,0
Colusa,2022-07-23,5
Colusa,2022-07-30,0
Colusa,2022-08-06,0
Colusa,2022-08-13,0
Colusa,2022-08-20,0
Colusa,2022-08-27,4
Colusa,2022-09-03,0
Colusa,2022-09-10,0
Colusa,2022-09-17,0
Colusa,2022-09-24,0
Colusa,2022-10-01,0
Colusa,2022-10-08,0
Colusa,2022-10-15,0
Colusa,2022-10-22,0
Colusa,2022-10-29,0
Colusa,2022-11-05,0
Colusa,2022-11-12,0
Colusa,2022-11-19,0
Colusa,2022-11-26,5
Colusa,2022-12-03,0
Colusa,2022-12-10,0
Colusa,2022-12-17,0
Colusa,2022-12-24,0
Colusa,2022-12-31,0
Colusa,2023-01-07,0
Colusa,2023-01-14,0
Colusa,2023-01-21,0
Colusa,2023-01-28,0
Colusa,2023-02-04,0
Colusa,2023-02-11,0
Colusa,2023-02-18,0
Colusa,2023-02-25,0
Colusa,2023-03-04,0
Colusa,2023-03-11,0
Colusa,2023-03-18,0
Colusa,2023-03-25,4
Colusa,2023-04-01,0
Colusa,2023-04-08,0
