geo_value,time_value,value
va,2022-10-01,0.43
vt,2022-10-01,0.08
wa,2022-10-01,0.11
wi,2022-10-01,0.03
wv,2022-10-01,0.07
wy,2022-10-01,0.21
ak,2022-10-08,0.24
al,2022-10-08,2.34
ar,2022-10-08,0.69
az,2022-10-08,0.2
ca,2022-10-08,0.27
co,2022-10-08,0.09
ct,2022-10-08,0.21
dc,2022-10-08,0.22
de,2022-10-08,0.2
fl,2022-10-08,0.65
ga,2022-10-08,1.75
hi,2022-10-08,1.44
ia,2022-10-08,0.24
id,2022-10-08,0.15
il,2022-10-08,0.23
in,2022-10-08,0.29
ks,2022-10-08,0.21
ky,2022-10-08,0.23
la,2022-10-08,2.73
ma,2022-10-08,0.12
md,2022-10-08,0.41
me,2022-10-08,0.08
mi,2022-10-08,0.07
mn,2022-10-08,0.14
ms,2022-10-08,1.7
mt,2022-10-08,0.03
nc,2022-10-08,0.9
nd,2022-10-08,0
ne,2022-10-08,0.04
nh,2022-10-08,0.24
nj,2022-10-08,0.3
nm,2022-10-08,0.14
nv,2022-10-08,0.21
ny,2022-10-08,0.09
oh,2022-10-08,0.15
ok,2022-10-08,0.05
or,2022-10-08,0.08
pa,2022-10-08,0.1
ri,2022-10-08,0.08
sc,2022-10-08,1.51
sd,2022-10-08,0.06
tn,2022-10-08,1.27
tx,2022-10-08,2.37
ut,2022-10-08,0.11
va,2022-10-08,0.72
vt,2022-10-08,0.04
wa,2022-10-08,0.13
wi,2022-10-08,0.06
wv,2022-10-08,0.19
wy,2022-10-08,0.28
ak,2022-10-15,0.32
al,2022-10-15,3.73
ar,2022-10-15,1.08
az,2022-10-15,0.17
ca,2022-10-15,0.43
co,2022-10-15,0.14
ct,2022-10-15,0.28
dc,2022-10-15,0.29
de,2022-10-15,0.28
fl,2022-10-15,0.78
ga,2022-10-15,2.16
hi,2022-10-15,2.07
ia,2022-10-15,0.35
id,2022-10-15,0.07
il,2022-10-15,0.38
in,2022-10-15,0.41
ks,2022-10-15,0.33
ky,2022-10-15,0.48
la,2022-10-15,3.52
ma,2022-10-15,0.14
md,2022-10-15,0.93
me,2022-10-15,0.06
mi,2022-10-15,0.09
mn,2022-10-15,0.22
ms,2022-10-15,2.87
mt,2022-10-15,0.03
nc,2022-10-15,1.56
nd,2022-10-15,0.06
ne,2022-10-15,0.04
nh,2022-10-15,0.37
nj,2022-10-15,0.43
nm,2022-10-15,0.15
nv,2022-10-15,0.19
ny,2022-10-15,0.14
oh,2022-10-15,0.26
ok,2022-10-15,0.24
or,2022-10-15,0.09
pa,2022-10-15,0.21
ri,2022-10-15,0.09
sc,2022-10-15,2.13
sd,2022-10-15,0.12
tn,2022-10-15,1.59
tx,2022-10-15,2.61
ut,2022-10-15,0.12
va,2022-10-15,1.29
vt,2022-10-15,0.06
wa,2022-10-15,0.18
wi,2022-10-15,0.07
wv,2022-10-15,0.49
wy,2022-10-15,0.25
ak,2022-10-22,0.76
al,2022-10-22,6.01
ar,2022-10-22,1.73
az,2022-10-22,0.27
ca,2022-10-22,0.65
co,2022-10-22,0.2
ct,2022-10-22,0.51
dc,2022-10-22,0.91
de,2022-10-22,0.54
fl,2022-10-22,1.2
ga,2022-10-22,2.46
hi,2022-10-22,2.15
ia,2022-10-22,0.27
id,2022-10-22,0.1
il,2022-10-22,0.79
in,2022-10-22,0.67
ks,2022-10-22,0.48
ky,2022-10-22,0.77
la,2022-10-22,4.25
ma,2022-10-22,0.17
md,2022-10-22,1.8
me,2022-10-22,0.1
mi,2022-10-22,0.13
mn,2022-10-22,0.38
ms,2022-10-22,4.17
mt,2022-10-22,0.19
nc,2022-10-22,3.05
nd,2022-10-22,0.07
ne,2022-10-22,0.13
nh,2022-10-22,0.16
nj,2022-10-22,0.65
nm,2022-10-22,0.19
nv,2022-10-22,0.31
ny,2022-10-22,0.21
oh,2022-10-22,0.58
ok,2022-10-22,0.33
or,2022-10-22,0.13
pa,2022-10-22,0.33
ri,2022-10-22,0.14
sc,2022-10-22,3.53
sd,2022-10-22,0.17
tn,2022-10-22,2.05
tx,2022-10-22,2.94
ut,2022-10-22,0.21
va,2022-10-22,2.56
vt,2022-10-22,0.12
wa,2022-10-22,0.33
wi,2022-10-22,0.13
wv,2022-10-22,0.87
wy,2022-10-22,0.21
ak,2022-10-29,1.16
al,2022-10-29,11.68
ar,2022-10-29,3.38
az,2022-10-29,0.46
ca,2022-10-29,1.01
co,2022-10-29,0.48
ct,2022-10-29,1.34
dc,2022-10-29,2.55
de,2022-10-29,1.58
fl,2022-10-29,2.06
ga,2022-10-29,4.57
hi,2022-10-29,2.74
ia,2022-10-29,0.36
id,2022-10-29,0.11
il,2022-10-29,1.72
in,2022-10-29,1.2
