,geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
75,mt,pct_ed_visits_covid,202240,202551,167,2.58,,,state,nssp
76,nc,pct_ed_visits_covid,202240,202551,167,2.18,,,state,nssp
77,nd,pct_ed_visits_covid,202240,202551,167,2.82,,,state,nssp
78,ne,pct_ed_visits_covid,202240,202551,167,1.05,,,state,nssp
79,nh,pct_ed_visits_covid,202240,202551,167,3.3,,,state,nssp
80,nj,pct_ed_visits_covid,202240,202551,167,2.58,,,state,nssp
81,nm,pct_ed_visits_covid,202240,202551,167,2.2,,,state,nssp
82,nv,pct_ed_visits_covid,202240,202551,167,1.31,,,state,nssp
83,ny,pct_ed_visits_covid,202240,202551,167,2.18,,,state,nssp
84,oh,pct_ed_visits_covid,202240,202551,167,1.65,,,state,nssp
85,ok,pct_ed_visits_covid,202240,202551,167,1.29,,,state,nssp
86,or,pct_ed_visits_covid,202240,202551,167,2.1,,,state,nssp
87,pa,pct_ed_visits_covid,202240,202551,167,2.01,,,state,nssp
88,ri,pct_ed_visits_covid,202240,202551,167,2.53,,,state,nssp
89,sc,pct_ed_visits_covid,202240,202551,167,1.25,,,state,nssp
90,sd,pct_ed_visits_covid,202240,202551,167,1.27,,,state,nssp
91,tn,pct_ed_visits_covid,202240,202551,167,1.1,,,state,nssp
92,tx,pct_ed_visits_covid,202240,202551,167,0.85,,,state,nssp
93,ut,pct_ed_visits_covid,202240,202551,167,1.41,,,state,nssp
94,va,pct_ed_visits_covid,202240,202551,167,1.94,,,state,nssp
95,vt,pct_ed_visits_covid,202240,202551,167,4.15,,,state,nssp
96,wa,pct_ed_visits_covid,202240,202551,167,2.31,,,state,nssp
97,wi,pct_ed_visits_covid,202240,202551,167,2.14,,,state,nssp
98,wv,pct_ed_visits_covid,202240,202551,167,1.96,,,state,nssp
99,wy,pct_ed_visits_covid,202240,202551,167,2.19,,,state,nssp
100,ak,pct_ed_visits_covid,202241,202551,166,1.48,,,state,nssp
101,al,pct_ed_visits_covid,202241,202551,166,0.91,,,state,nssp
102,ar,pct_ed_visits_covid,202241,202551,166,1.03,,,state,nssp
103,az,pct_ed_visits_covid,202241,202551,166,1.56,,,state,nssp
104,ca,pct_ed_visits_covid,202241,202551,166,1.03,,,state,nssp
105,co,pct_ed_visits_covid,202241,202551,166,1.7,,,state,nssp
106,ct,pct_ed_visits_covid,202241,202551,166,3.09,,,state,nssp
107,dc,pct_ed_visits_covid,202241,202551,166,1.23,,,state,nssp
108,de,pct_ed_visits_covid,202241,202551,166,2.26,,,state,nssp
109,fl,pct_ed_visits_covid,202241,202551,166,1.06,,,state,nssp
110,ga,pct_ed_visits_covid,202241,202551,166,0.48,,,state,nssp
111,hi,pct_ed_visits_covid,202241,202551,166,2.14,,,state,nssp
112,ia,pct_ed_visits_covid,202241,202551,166,2.17,,,state,nssp
113,id,pct_ed_visits_covid,202241,202551,166,2.08,,,state,nssp
114,il,pct_ed_visits_covid,202241,202551,166,1.91,,,state,nssp
115,in,pct_ed_visits_covid,202241,202551,166,1.53,,,state,nssp
116,ks,pct_ed_visits_covid,202241,202551,166,1.4,,,state,nssp
117,ky,pct_ed_visits_covid,202241,202551,166,1.82,,,state,nssp
118,la,pct_ed_visits_covid,202241,202551,166,0.81,,,state,nssp
119,ma,pct_ed_visits_covid,202241,202551,166,3.16,,,state,nssp
120,md,pct_ed_visits_covid,202241,202551,166,1.82,,,state,nssp
121,me,pct_ed_visits_covid,202241,202551,166,4.63,,,state,nssp
122,mi,pct_ed_visits_covid,202241,202551,166,3.0,,,state,nssp
123,mn,pct_ed_visits_covid,202241,202551,166,1.83,,,state,nssp
124,ms,pct_ed_visits_covid,202241,202551,166,0.89,,,state,nssp
125,mt,pct_ed_visits_covid,202241,202551,166,2.47,,,state,nssp
126,nc,pct_ed_visits_covid,202241,202551,166,1.85,,,state,nssp
127,nd,pct_ed_visits_covid,202241,202551,166,2.27,,,state,nssp
128,ne,pct_ed_visits_covid,202241,202551,166,1.01,,,state,nssp
129,nh,pct_ed_visits_covid,202241,202551,166,3.3,,,state,nssp
130,nj,pct_ed_visits_covid,202241,202551,166,2.46,,,state,nssp
131,nm,pct_ed_visits_covid,202241,202551,166,2.69,,,state,nssp
132,nv,pct_ed_visits_covid,202241,202551,166,1.41,,,state,nssp
133,ny,pct_ed_visits_covid,202241,202551,166,2.36,,,state,nssp
134,oh,pct_ed_visits_covid,202241,202551,166,1.81,,,state,nssp
135,ok,pct_ed_visits_covid,202241,202551,166,1.06,,,state,nssp
136,or,pct_ed_visits_covid,202241,202551,166,1.91,,,state,nssp
137,pa,pct_ed_visits_covid,202241,202551,166,1.88,,,state,nssp
138,ri,pct_ed_visits_covid,202241,202551,166,2.12,,,state,nssp
139,sc,pct_ed_visits_covid,202241,202551,166,1.3,,,state,nssp
140,sd,pct_ed_visits_covid,202241,202551,166,1.05,,,state,nssp
141,tn,pct_ed_visits_covid,202241,202551,166,1.19,,,state,nssp
142,tx,pct_ed_visits_covid,202241,202551,166,0.72,,,state,nssp
143,ut,pct_ed_visits_covid,202241,202551,166,1.77,,,state,nssp
144,va,pct_ed_visits_covid,202241,202551,166,1.92,,,state,nssp
145,vt,pct_ed_visits_covid,202241,202551,166,4.29,,,state,nssp
146,wa,pct_ed_visits_covid,202241,202551,166,1.95,,,state,nssp
147,wi,pct_ed_visits_covid,202241,202551,166,2.18,,,state,nssp
148,wv,pct_ed_visits_covid,202241,202551,166,1.84,,,state,nssp
149,wy,pct_ed_visits_covid,202241,202551,166,2.5,,,state,nssp
150,ak,pct_ed_visits_covid,202242,202551,165,1.1,,,state,nssp
151,al,pct_ed_visits_covid,202242,202551,165,0.82,,,state,nssp
152,ar,pct_ed_visits_covid,202242,202551,165,1.01,,,state,nssp
153,az,pct_ed_visits_covid,202242,202551,165,1.98,,,state,nssp
154,ca,pct_ed_visits_covid,202242,202551,165,1.08,,,state,nssp
155,co,pct_ed_visits_covid,202242,202551,165,1.98,,,state,nssp
156,ct,pct_ed_visits_covid,202242,202551,165,2.76,,,state,nssp
157,dc,pct_ed_visits_covid,202242,202551,165,1.6,,,state,nssp
158,de,pct_ed_visits_covid,202242,202551,165,1.74,,,state,nssp
159,fl,pct_ed_visits_covid,202242,202551,165,1.07,,,state,nssp
160,ga,pct_ed_visits_covid,202242,202551,165,0.47,,,state,nssp
161,hi,pct_ed_visits_covid,202242,202551,165,2.79,,,state,nssp
162,ia,pct_ed_visits_covid,202242,202551,165,2.61,,,state,nssp
163,id,pct_ed_visits_covid,202242,202551,165,1.99,,,state,nssp
164,il,pct_ed_visits_covid,202242,202551,165,2.24,,,state,nssp
165,in,pct_ed_visits_covid,202242,202551,165,1.9,,,state,nssp
166,ks,pct_ed_visits_covid,202242,202551,165,1.51,,,state,nssp
167,ky,pct_ed_visits_covid,202242,202551,165,1.63,,,state,nssp
168,la,pct_ed_visits_covid,202242,202551,165,0.8,,,state,nssp
169,ma,pct_ed_visits_covid,202242,202551,165,2.6,,,state,nssp
170,md,pct_ed_visits_covid,202242,202551,165,1.93,,,state,nssp
171,me,pct_ed_visits_covid,202242,202551,165,3.8,,,state,nssp
172,mi,pct_ed_visits_covid,202242,202551,165,2.96,,,state,nssp
173,mn,pct_ed_visits_covid,202242,202551,165,2.48,,,state,nssp
174,ms,pct_ed_visits_covid,202242,202551,165,0.74,,,state,nssp
175,mt,pct_ed_visits_covid,202242,202551,165,2.39,,,state,nssp
176,nc,pct_ed_visits_covid,202242,202551,165,1.72,,,state,nssp
177,nd,pct_ed_visits_covid,202242,202551,165,2.44,,,state,nssp
178,ne,pct_ed_visits_covid,202242,202551,165,1.17,,,state,nssp
179,nh,pct_ed_visits_covid,202242,202551,165,2.8,,,state,nssp
180,nj,pct_ed_visits_covid,202242,202551,165,2.35,,,state,nssp
181,nm,pct_ed_visits_covid,202242,202551,165,3.31,,,state,nssp
182,nv,pct_ed_visits_covid,202242,202551,165,1.69,,,state,nssp
183,ny,pct_ed_visits_covid,202242,202551,165,2.06,,,state,nssp
184,oh,pct_ed_visits_covid,202242,202551,165,1.81,,,state,nssp
185,ok,pct_ed_visits_covid,202242,202551,165,1.25,,,state,nssp
186,or,pct_ed_visits_covid,202242,202551,165,1.78,,,state,nssp
187,pa,pct_ed_visits_covid,202242,202551,165,1.94,,,state,nssp
188,ri,pct_ed_visits_covid,202242,202551,165,1.86,,,state,nssp
189,sc,pct_ed_visits_covid,202242,202551,165,1.02,,,state,nssp
190,sd,pct_ed_visits_covid,202242,202551,165,1.28,,,state,nssp
191,tn,pct_ed_visits_covid,202242,202551,165,1.25,,,state,nssp
192,tx,pct_ed_visits_covid,202242,202551,165,0.63,,,state,nssp
193,ut,pct_ed_visits_covid,202242,202551,165,1.91,,,state,nssp
194,va,pct_ed_visits_covid,202242,202551,165,1.78,,,state,nssp
195,vt,pct_ed_visits_covid,202242,202551,165,4.05,,,state,nssp
196,wa,pct_ed_visits_covid,202242,202551,165,1.73,,,state,nssp
197,wi,pct_ed_visits_covid,202242,202551,165,2.27,,,state,nssp
198,wv,pct_ed_visits_covid,202242,202551,165,1.97,,,state,nssp
199,wy,pct_ed_visits_covid,202242,202551,165,2.63,,,state,nssp
200,ak,pct_ed_visits_covid,202243,202551,164,1.12,,,state,nssp
201,al,pct_ed_visits_covid,202243,202551,164,0.99,,,state,nssp
202,ar,pct_ed_visits_covid,202243,202551,164,0.81,,,state,nssp
203,az,pct_ed_visits_covid,202243,202551,164,2.0,,,state,nssp
204,ca,pct_ed_visits_covid,202243,202551,164,1.12,,,state,nssp
205,co,pct_ed_visits_covid,202243,202551,164,2.16,,,state,nssp
206,ct,pct_ed_visits_covid,202243,202551,164,2.69,,,state,nssp
207,dc,pct_ed_visits_covid,202243,202551,164,1.67,,,state,nssp
208,de,pct_ed_visits_covid,202243,202551,164,1.81,,,state,nssp
209,fl,pct_ed_visits_covid,202243,202551,164,1.17,,,state,nssp
210,ga,pct_ed_visits_covid,202243,202551,164,0.55,,,state,nssp
211,hi,pct_ed_visits_covid,202243,202551,164,2.27,,,state,nssp
212,ia,pct_ed_visits_covid,202243,202551,164,2.54,,,state,nssp
213,id,pct_ed_visits_covid,202243,202551,164,1.75,,,state,nssp
214,il,pct_ed_visits_covid,202243,202551,164,2.38,,,state,nssp
