geo_value,time_value,value
va,2022-10-01,2.08
vt,2022-10-01,3.66
wa,2022-10-01,2.84
wi,2022-10-01,2.06
wv,2022-10-01,2.56
wy,2022-10-01,2.88
ak,2022-10-08,1.31
al,2022-10-08,0.98
ar,2022-10-08,0.94
az,2022-10-08,1.61
ca,2022-10-08,1.1
co,2022-10-08,1.54
ct,2022-10-08,3.33
dc,2022-10-08,1.44
de,2022-10-08,2.37
fl,2022-10-08,1.14
ga,2022-10-08,0.49
hi,2022-10-08,2.48
ia,2022-10-08,2.61
id,2022-10-08,1.85
il,2022-10-08,1.8
in,2022-10-08,1.53
ks,2022-10-08,1.51
ky,2022-10-08,1.77
la,2022-10-08,1
ma,2022-10-08,3.4
md,2022-10-08,2.05
me,2022-10-08,3.92
mi,2022-10-08,3.05
mn,2022-10-08,2.1
ms,2022-10-08,0.88
mt,2022-10-08,2.58
nc,2022-10-08,2.18
nd,2022-10-08,2.82
ne,2022-10-08,1.05
nh,2022-10-08,3.3
nj,2022-10-08,2.58
nm,2022-10-08,2.2
nv,2022-10-08,1.31
ny,2022-10-08,2.18
oh,2022-10-08,1.65
ok,2022-10-08,1.29
or,2022-10-08,2.1
pa,2022-10-08,2.01
ri,2022-10-08,2.53
sc,2022-10-08,1.25
sd,2022-10-08,1.27
tn,2022-10-08,1.1
tx,2022-10-08,0.85
ut,2022-10-08,1.41
va,2022-10-08,1.94
vt,2022-10-08,4.15
wa,2022-10-08,2.31
wi,2022-10-08,2.14
wv,2022-10-08,1.96
wy,2022-10-08,2.19
ak,2022-10-15,1.48
al,2022-10-15,0.91
ar,2022-10-15,1.03
az,2022-10-15,1.56
ca,2022-10-15,1.03
co,2022-10-15,1.7
ct,2022-10-15,3.09
dc,2022-10-15,1.23
de,2022-10-15,2.26
fl,2022-10-15,1.06
ga,2022-10-15,0.48
hi,2022-10-15,2.14
ia,2022-10-15,2.17
id,2022-10-15,2.08
il,2022-10-15,1.91
in,2022-10-15,1.53
ks,2022-10-15,1.4
ky,2022-10-15,1.82
la,2022-10-15,0.81
ma,2022-10-15,3.16
md,2022-10-15,1.82
me,2022-10-15,4.63
mi,2022-10-15,3
mn,2022-10-15,1.83
ms,2022-10-15,0.89
mt,2022-10-15,2.47
nc,2022-10-15,1.85
nd,2022-10-15,2.27
ne,2022-10-15,1.01
nh,2022-10-15,3.3
nj,2022-10-15,2.46
nm,2022-10-15,2.69
nv,2022-10-15,1.41
ny,2022-10-15,2.36
oh,2022-10-15,1.81
ok,2022-10-15,1.06
or,2022-10-15,1.91
pa,2022-10-15,1.88
ri,2022-10-15,2.12
sc,2022-10-15,1.3
sd,2022-10-15,1.05
tn,2022-10-15,1.19
tx,2022-10-15,0.72
ut,2022-10-15,1.77
va,2022-10-15,1.92
vt,2022-10-15,4.29
wa,2022-10-15,1.95
wi,2022-10-15,2.18
wv,2022-10-15,1.84
wy,2022-10-15,2.5
ak,2022-10-22,1.1
al,2022-10-22,0.82
ar,2022-10-22,1.01
az,2022-10-22,1.98
ca,2022-10-22,1.08
co,2022-10-22,1.98
ct,2022-10-22,2.76
dc,2022-10-22,1.6
de,2022-10-22,1.74
fl,2022-10-22,1.07
ga,2022-10-22,0.47
hi,2022-10-22,2.79
ia,2022-10-22,2.61
id,2022-10-22,1.99
il,2022-10-22,2.24
in,2022-10-22,1.9
ks,2022-10-22,1.51
ky,2022-10-22,1.63
la,2022-10-22,0.8
ma,2022-10-22,2.6
md,2022-10-22,1.93
me,2022-10-22,3.8
mi,2022-10-22,2.96
mn,2022-10-22,2.48
ms,2022-10-22,0.74
mt,2022-10-22,2.39
nc,2022-10-22,1.72
nd,2022-10-22,2.44
ne,2022-10-22,1.17
nh,2022-10-22,2.8
nj,2022-10-22,2.35
nm,2022-10-22,3.31
nv,2022-10-22,1.69
ny,2022-10-22,2.06
oh,2022-10-22,1.81
ok,2022-10-22,1.25
or,2022-10-22,1.78
pa,2022-10-22,1.94
ri,2022-10-22,1.86
sc,2022-10-22,1.02
sd,2022-10-22,1.28
tn,2022-10-22,1.25
tx,2022-10-22,0.63
ut,2022-10-22,1.91
va,2022-10-22,1.78
vt,2022-10-22,4.05
wa,2022-10-22,1.73
wi,2022-10-22,2.27
wv,2022-10-22,1.97
wy,2022-10-22,2.63
ak,2022-10-29,1.12
al,2022-10-29,0.99
ar,2022-10-29,0.81
az,2022-10-29,2
ca,2022-10-29,1.12
co,2022-10-29,2.16
