MMWR_week,MMWR_year,location,location_name,geo_value,true_value,target_end_date
1,2023,01,Alabama,al,744,2023-01-01
1,2023,02,Alaska,ak,36,2023-01-01
1,2023,04,Arizona,az,696,2023-01-01
1,2023,05,Arkansas,ar,453,2023-01-01
1,2023,06,California,ca,4713,2023-01-01
1,2023,08,Colorado,co,420,2023-01-01
1,2023,09,Connecticut,ct,787,2023-01-01
1,2023,10,Delaware,de,176,2023-01-01
1,2023,11,District of Columbia,dc,186,2023-01-01
1,2023,12,Florida,fl,3546,2023-01-01
1,2023,13,Georgia,ga,1601,2023-01-01
1,2023,15,Hawaii,hi,120,2023-01-01
1,2023,16,Idaho,id,111,2023-01-01
1,2023,17,Illinois,il,1813,2023-01-01
1,2023,18,Indiana,in,732,2023-01-01
1,2023,19,Iowa,ia,291,2023-01-01
1,2023,20,Kansas,ks,281,2023-01-01
1,2023,21,Kentucky,ky,543,2023-01-01
1,2023,22,Louisiana,la,701,2023-01-01
1,2023,23,Maine,me,89,2023-01-01
1,2023,24,Maryland,md,787,2023-01-01
1,2023,25,Massachusetts,ma,1389,2023-01-01
1,2023,26,Michigan,mi,1075,2023-01-01
1,2023,27,Minnesota,mn,555,2023-01-01
1,2023,28,Mississippi,ms,421,2023-01-01
1,2023,29,Missouri,mo,812,2023-01-01
1,2023,30,Montana,mt,93,2023-01-01
1,2023,31,Nebraska,ne,164,2023-01-01
1,2023,32,Nevada,nv,273,2023-01-01
1,2023,33,New Hampshire,nh,166,2023-01-01
1,2023,34,New Jersey,nj,1809,2023-01-01
1,2023,35,New Mexico,nm,105,2023-01-01
1,2023,36,New York,ny,3731,2023-01-01
1,2023,37,North Carolina,nc,1564,2023-01-01
1,2023,38,North Dakota,nd,54,2023-01-01
1,2023,39,Ohio,oh,1632,2023-01-01
1,2023,40,Oklahoma,ok,462,2023-01-01
1,2023,41,Oregon,or,289,2023-01-01
1,2023,42,Pennsylvania,pa,1720,2023-01-01
1,2023,44,Rhode Island,ri,141,2023-01-01
1,2023,45,South Carolina,sc,819,2023-01-01
1,2023,46,South Dakota,sd,49,2023-01-01
1,2023,47,Tennessee,tn,828,2023-01-01
1,2023,48,Texas,tx,3846,2023-01-01
1,2023,49,Utah,ut,263,2023-01-01
1,2023,50,Vermont,vt,40,2023-01-01
1,2023,51,Virginia,va,1211,2023-01-01
1,2023,53,Washington,wa,489,2023-01-01
1,2023,54,West Virginia,wv,306,2023-01-01
1,2023,55,Wisconsin,wi,618,2023-01-01
1,2023,56,Wyoming,wy,25,2023-01-01
1,2023,60,American Samoa,as,0,2023-01-01
1,2023,72,Puerto Rico,pr,222,2023-01-01
1,2023,78,Virgin Islands,NA,3,2023-01-01
1,2023,US,United States,us,44000,2023-01-01
1,2024,01,Alabama,al,511,2023-12-31
1,2024,02,Alaska,ak,40,2023-12-31
1,2024,04,Arizona,az,609,2023-12-31
1,2024,05,Arkansas,ar,363,2023-12-31
1,2024,06,California,ca,3568,2023-12-31
1,2024,08,Colorado,co,473,2023-12-31
1,2024,09,Connecticut,ct,408,2023-12-31
1,2024,10,Delaware,de,116,2023-12-31
1,2024,11,District of Columbia,dc,84,2023-12-31
1,2024,12,Florida,fl,2186,2023-12-31
1,2024,13,Georgia,ga,1005,2023-12-31
1,2024,15,Hawaii,hi,104,2023-12-31
1,2024,16,Idaho,id,199,2023-12-31
1,2024,17,Illinois,il,1416,2023-12-31
1,2024,18,Indiana,in,809,2023-12-31
1,2024,19,Iowa,ia,362,2023-12-31
1,2024,20,Kansas,ks,355,2023-12-31
1,2024,21,Kentucky,ky,526,2023-12-31
1,2024,22,Louisiana,la,419,2023-12-31
1,2024,23,Maine,me,155,2023-12-31
1,2024,24,Maryland,md,605,2023-12-31
1,2024,25,Massachusetts,ma,1004,2023-12-31
1,2024,26,Michigan,mi,1238,2023-12-31
1,2024,27,Minnesota,mn,522,2023-12-31
1,2024,28,Mississippi,ms,217,2023-12-31
1,2024,29,Missouri,mo,820,2023-12-31
1,2024,30,Montana,mt,119,2023-12-31
1,2024,31,Nebraska,ne,204,2023-12-31
1,2024,32,Nevada,nv,241,2023-12-31
1,2024,33,New Hampshire,nh,182,2023-12-31
1,2024,34,New Jersey,nj,1403,2023-12-31
1,2024,35,New Mexico,nm,106,2023-12-31
1,2024,36,New York,ny,3151,2023-12-31
1,2024,37,North Carolina,nc,859,2023-12-31
1,2024,38,North Dakota,nd,74,2023-12-31
1,2024,39,Ohio,oh,1469,2023-12-31
1,2024,40,Oklahoma,ok,356,2023-12-31
1,2024,41,Oregon,or,290,2023-12-31
1,2024,42,Pennsylvania,pa,1594,2023-12-31
1,2024,44,Rhode Island,ri,147,2023-12-31
1,2024,45,South Carolina,sc,548,2023-12-31
1,2024,46,South Dakota,sd,124,2023-12-31
1,2024,47,Tennessee,tn,726,2023-12-31
1,2024,48,Texas,tx,2208,2023-12-31
1,2024,49,Utah,ut,257,2023-12-31
1,2024,50,Vermont,vt,67,2023-12-31
1,2024,51,Virginia,va,997,2023-12-31
1,2024,53,Washington,wa,432,2023-12-31
1,2024,54,West Virginia,wv,344,2023-12-31
1,2024,55,Wisconsin,wi,703,2023-12-31
1,2024,56,Wyoming,wy,38,2023-12-31
1,2024,60,American Samoa,as,0,2023-12-31
1,2024,72,Puerto Rico,pr,160,2023-12-31
1,2024,78,Virgin Islands,NA,1,2023-12-31
1,2024,US,United States,us,34914,2023-12-31
2,2020,05,Arkansas,ar,0,2020-01-05
2,2020,32,Nevada,nv,132,2020-01-05
2,2021,01,Alabama,al,2715,2021-01-10
2,2021,02,Alaska,ak,52,2021-01-10
2,2021,04,Arizona,az,3933,2021-01-10
2,2021,05,Arkansas,ar,1138,2021-01-10
2,2021,06,California,ca,14890,2021-01-10
2,2021,08,Colorado,co,910,2021-01-10
2,2021,09,Connecticut,ct,1089,2021-01-10
2,2021,10,Delaware,de,368,2021-01-10
2,2021,11,District of Columbia,dc,277,2021-01-10
2,2021,12,Florida,fl,7705,2021-01-10
2,2021,13,Georgia,ga,5668,2021-01-10
2,2021,15,Hawaii,hi,67,2021-01-10
2,2021,16,Idaho,id,233,2021-01-10
2,2021,17,Illinois,il,2633,2021-01-10
2,2021,18,Indiana,in,2100,2021-01-10
2,2021,19,Iowa,ia,514,2021-01-10
2,2021,20,Kansas,ks,967,2021-01-10
2,2021,21,Kentucky,ky,3208,2021-01-10
2,2021,22,Louisiana,la,1682,2021-01-10
2,2021,23,Maine,me,138,2021-01-10
2,2021,24,Maryland,md,1590,2021-01-10
2,2021,25,Massachusetts,ma,1956,2021-01-10
2,2021,26,Michigan,mi,1736,2021-01-10
2,2021,27,Minnesota,mn,594,2021-01-10
2,2021,28,Mississippi,ms,906,2021-01-10
2,2021,29,Missouri,mo,1675,2021-01-10
2,2021,30,Montana,mt,308,2021-01-10
2,2021,31,Nebraska,ne,350,2021-01-10
2,2021,32,Nevada,nv,1104,2021-01-10
2,2021,33,New Hampshire,nh,227,2021-01-10
2,2021,34,New Jersey,nj,2982,2021-01-10
2,2021,35,New Mexico,nm,756,2021-01-10
2,2021,36,New York,ny,7698,2021-01-10
2,2021,37,North Carolina,nc,3098,2021-01-10
2,2021,38,North Dakota,nd,105,2021-01-10
2,2021,39,Ohio,oh,3760,2021-01-10
2,2021,40,Oklahoma,ok,2379,2021-01-10
2,2021,41,Oregon,or,361,2021-01-10
2,2021,42,Pennsylvania,pa,3850,2021-01-10
2,2021,44,Rhode Island,ri,237,2021-01-10
2,2021,45,South Carolina,sc,1901,2021-01-10
2,2021,46,South Dakota,sd,140,2021-01-10
2,2021,47,Tennessee,tn,2098,2021-01-10
2,2021,48,Texas,tx,12811,2021-01-10
2,2021,49,Utah,ut,609,2021-01-10
2,2021,50,Vermont,vt,62,2021-01-10
2,2021,51,Virginia,va,2143,2021-01-10
2,2021,53,Washington,wa,665,2021-01-10
2,2021,54,West Virginia,wv,539,2021-01-10
2,2021,55,Wisconsin,wi,1558,2021-01-10
2,2021,56,Wyoming,wy,113,2021-01-10
2,2021,72,Puerto Rico,pr,160,2021-01-10
2,2021,78,Virgin Islands,NA,1,2021-01-10
2,2021,US,United States,us,108759,2021-01-10
2,2022,01,Alabama,al,2478,2022-01-09
2,2022,02,Alaska,ak,123,2022-01-09
2,2022,04,Arizona,az,3390,2022-01-09
2,2022,05,Arkansas,ar,1458,2022-01-09
2,2022,06,California,ca,14886,2022-01-09
2,2022,08,Colorado,co,2421,2022-01-09
2,2022,09,Connecticut,ct,1892,2022-01-09
2,2022,10,Delaware,de,673,2022-01-09
2,2022,11,District of Columbia,dc,554,2022-01-09
2,2022,12,Florida,fl,14474,2022-01-09
2,2022,13,Georgia,ga,5914,2022-01-09
2,2022,15,Hawaii,hi,373,2022-01-09
2,2022,16,Idaho,id,376,2022-01-09
2,2022,17,Illinois,il,6085,2022-01-09
2,2022,18,Indiana,in,3243,2022-01-09
2,2022,19,Iowa,ia,1168,2022-01-09
2,2022,20,Kansas,ks,1270,2022-01-09
2,2022,21,Kentucky,ky,1722,2022-01-09
2,2022,22,Louisiana,la,2590,2022-01-09
2,2022,23,Maine,me,249,2022-01-09
2,2022,24,Maryland,md,2808,2022-01-09
2,2022,25,Massachusetts,ma,3127,2022-01-09
2,2022,26,Michigan,mi,3869,2022-01-09
2,2022,27,Minnesota,mn,1378,2022-01-09
2,2022,28,Mississippi,ms,1335,2022-01-09
2,2022,29,Missouri,mo,2926,2022-01-09
2,2022,30,Montana,mt,499,2022-01-09
2,2022,31,Nebraska,ne,496,2022-01-09
2,2022,32,Nevada,nv,1587,2022-01-09
2,2022,33,New Hampshire,nh,434,2022-01-09
2,2022,34,New Jersey,nj,5420,2022-01-09
2,2022,35,New Mexico,nm,620,2022-01-09
2,2022,36,New York,ny,11071,2022-01-09
2,2022,37,North Carolina,nc,4104,2022-01-09
2,2022,38,North Dakota,nd,239,2022-01-09
2,2022,39,Ohio,oh,6930,2022-01-09
2,2022,40,Oklahoma,ok,2623,2022-01-09
2,2022,41,Oregon,or,695,2022-01-09
2,2022,42,Pennsylvania,pa,6532,2022-01-09
2,2022,44,Rhode Island,ri,451,2022-01-09
2,2022,45,South Carolina,sc,2570,2022-01-09
2,2022,46,South Dakota,sd,449,2022-01-09
2,2022,47,Tennessee,tn,2737,2022-01-09
2,2022,48,Texas,tx,14378,2022-01-09
2,2022,49,Utah,ut,954,2022-01-09
2,2022,50,Vermont,vt,156,2022-01-09
2,2022,51,Virginia,va,3267,2022-01-09
2,2022,53,Washington,wa,1842,2022-01-09
2,2022,54,West Virginia,wv,774,2022-01-09
2,2022,55,Wisconsin,wi,2677,2022-01-09
2,2022,56,Wyoming,wy,143,2022-01-09
2,2022,60,American Samoa,as,0,2022-01-09
2,2022,72,Puerto Rico,pr,919,2022-01-09
2,2022,78,Virgin Islands,NA,17,2022-01-09
2,2022,US,United States,us,153366,2022-01-09
2,2023,01,Alabama,al,572,2023-01-08
2,2023,02,Alaska,ak,38,2023-01-08
2,2023,04,Arizona,az,525,2023-01-08
2,2023,05,Arkansas,ar,377,2023-01-08
2,2023,06,California,ca,3912,2023-01-08
2,2023,08,Colorado,co,317,2023-01-08
2,2023,09,Connecticut,ct,817,2023-01-08
2,2023,10,Delaware,de,134,2023-01-08
2,2023,11,District of Columbia,dc,168,2023-01-08
2,2023,12,Florida,fl,3065,2023-01-08
2,2023,13,Georgia,ga,1201,2023-01-08
2,2023,15,Hawaii,hi,121,2023-01-08
2,2023,16,Idaho,id,117,2023-01-08
2,2023,17,Illinois,il,1480,2023-01-08
2,2023,18,Indiana,in,568,2023-01-08
2,2023,19,Iowa,ia,230,2023-01-08
2,2023,20,Kansas,ks,203,2023-01-08
2,2023,21,Kentucky,ky,448,2023-01-08
2,2023,22,Louisiana,la,660,2023-01-08
2,2023,23,Maine,me,87,2023-01-08
2,2023,24,Maryland,md,720,2023-01-08
2,2023,25,Massachusetts,ma,1268,2023-01-08
2,2023,26,Michigan,mi,895,2023-01-08
2,2023,27,Minnesota,mn,390,2023-01-08
2,2023,28,Mississippi,ms,364,2023-01-08
2,2023,29,Missouri,mo,728,2023-01-08
2,2023,30,Montana,mt,93,2023-01-08
2,2023,31,Nebraska,ne,157,2023-01-08
2,2023,32,Nevada,nv,216,2023-01-08
2,2023,33,New Hampshire,nh,162,2023-01-08
2,2023,34,New Jersey,nj,1604,2023-01-08
2,2023,35,New Mexico,nm,109,2023-01-08
2,2023,36,New York,ny,3173,2023-01-08
2,2023,37,North Carolina,nc,1249,2023-01-08
2,2023,38,North Dakota,nd,56,2023-01-08
2,2023,39,Ohio,oh,1239,2023-01-08
2,2023,40,Oklahoma,ok,402,2023-01-08
2,2023,41,Oregon,or,273,2023-01-08
2,2023,42,Pennsylvania,pa,1370,2023-01-08
2,2023,44,Rhode Island,ri,141,2023-01-08
2,2023,45,South Carolina,sc,625,2023-01-08
2,2023,46,South Dakota,sd,57,2023-01-08
2,2023,47,Tennessee,tn,711,2023-01-08
2,2023,48,Texas,tx,3400,2023-01-08
2,2023,49,Utah,ut,187,2023-01-08
2,2023,50,Vermont,vt,37,2023-01-08
2,2023,51,Virginia,va,977,2023-01-08
2,2023,53,Washington,wa,423,2023-01-08
2,2023,54,West Virginia,wv,261,2023-01-08
2,2023,55,Wisconsin,wi,517,2023-01-08
2,2023,56,Wyoming,wy,29,2023-01-08
2,2023,60,American Samoa,as,0,2023-01-08
2,2023,72,Puerto Rico,pr,241,2023-01-08
2,2023,78,Virgin Islands,NA,6,2023-01-08
2,2023,US,United States,us,37120,2023-01-08
2,2024,01,Alabama,al,472,2024-01-07
2,2024,02,Alaska,ak,37,2024-01-07
2,2024,04,Arizona,az,551,2024-01-07
2,2024,05,Arkansas,ar,292,2024-01-07
2,2024,06,California,ca,3286,2024-01-07
2,2024,08,Colorado,co,414,2024-01-07
2,2024,09,Connecticut,ct,489,2024-01-07
2,2024,10,Delaware,de,97,2024-01-07
2,2024,11,District of Columbia,dc,113,2024-01-07
2,2024,12,Florida,fl,2016,2024-01-07
2,2024,13,Georgia,ga,963,2024-01-07
2,2024,15,Hawaii,hi,113,2024-01-07
2,2024,16,Idaho,id,160,2024-01-07
2,2024,17,Illinois,il,1239,2024-01-07
2,2024,18,Indiana,in,644,2024-01-07
2,2024,19,Iowa,ia,257,2024-01-07
2,2024,20,Kansas,ks,271,2024-01-07
2,2024,21,Kentucky,ky,491,2024-01-07
2,2024,22,Louisiana,la,388,2024-01-07
2,2024,23,Maine,me,97,2024-01-07
2,2024,24,Maryland,md,493,2024-01-07
2,2024,25,Massachusetts,ma,886,2024-01-07
2,2024,26,Michigan,mi,1014,2024-01-07
2,2024,27,Minnesota,mn,467,2024-01-07
2,2024,28,Mississippi,ms,234,2024-01-07
2,2024,29,Missouri,mo,732,2024-01-07
2,2024,30,Montana,mt,109,2024-01-07
2,2024,31,Nebraska,ne,155,2024-01-07
2,2024,32,Nevada,nv,224,2024-01-07
2,2024,33,New Hampshire,nh,124,2024-01-07
2,2024,34,New Jersey,nj,1328,2024-01-07
2,2024,35,New Mexico,nm,46,2024-01-07
2,2024,36,New York,ny,2923,2024-01-07
2,2024,37,North Carolina,nc,859,2024-01-07
2,2024,38,North Dakota,nd,57,2024-01-07
2,2024,39,Ohio,oh,1207,2024-01-07
2,2024,40,Oklahoma,ok,349,2024-01-07
2,2024,41,Oregon,or,250,2024-01-07
2,2024,42,Pennsylvania,pa,1388,2024-01-07
2,2024,44,Rhode Island,ri,117,2024-01-07
2,2024,45,South Carolina,sc,467,2024-01-07
2,2024,46,South Dakota,sd,86,2024-01-07
2,2024,47,Tennessee,tn,556,2024-01-07
2,2024,48,Texas,tx,1999,2024-01-07
2,2024,49,Utah,ut,191,2024-01-07
2,2024,50,Vermont,vt,46,2024-01-07
2,2024,51,Virginia,va,865,2024-01-07
2,2024,53,Washington,wa,360,2024-01-07
2,2024,54,West Virginia,wv,260,2024-01-07
2,2024,55,Wisconsin,wi,515,2024-01-07
2,2024,56,Wyoming,wy,35,2024-01-07
2,2024,60,American Samoa,as,0,2024-01-07
2,2024,72,Puerto Rico,pr,189,2024-01-07
2,2024,78,Virgin Islands,NA,1,2024-01-07
2,2024,US,United States,us,30922,2024-01-07
3,2021,01,Alabama,al,2206,2021-01-17
3,2021,02,Alaska,ak,34,2021-01-17
3,2021,04,Arizona,az,3683,2021-01-17
3,2021,05,Arkansas,ar,1046,2021-01-17
3,2021,06,California,ca,12757,2021-01-17
3,2021,08,Colorado,co,823,2021-01-17
3,2021,09,Connecticut,ct,947,2021-01-17
3,2021,10,Delaware,de,350,2021-01-17
3,2021,11,District of Columbia,dc,211,2021-01-17
3,2021,12,Florida,fl,7193,2021-01-17
3,2021,13,Georgia,ga,5311,2021-01-17
3,2021,15,Hawaii,hi,69,2021-01-17
3,2021,16,Idaho,id,176,2021-01-17
3,2021,17,Illinois,il,2249,2021-01-17
3,2021,18,Indiana,in,1638,2021-01-17
3,2021,19,Iowa,ia,434,2021-01-17
3,2021,20,Kansas,ks,770,2021-01-17
3,2021,21,Kentucky,ky,2734,2021-01-17
3,2021,22,Louisiana,la,1426,2021-01-17
3,2021,23,Maine,me,96,2021-01-17
3,2021,24,Maryland,md,1460,2021-01-17
3,2021,25,Massachusetts,ma,1625,2021-01-17
3,2021,26,Michigan,mi,1415,2021-01-17
3,2021,27,Minnesota,mn,486,2021-01-17
3,2021,28,Mississippi,ms,743,2021-01-17
3,2021,29,Missouri,mo,1282,2021-01-17
3,2021,30,Montana,mt,223,2021-01-17
3,2021,31,Nebraska,ne,304,2021-01-17
3,2021,32,Nevada,nv,967,2021-01-17
3,2021,33,New Hampshire,nh,209,2021-01-17
3,2021,34,New Jersey,nj,2618,2021-01-17
3,2021,35,New Mexico,nm,709,2021-01-17
3,2021,36,New York,ny,6629,2021-01-17
3,2021,37,North Carolina,nc,2677,2021-01-17
3,2021,38,North Dakota,nd,74,2021-01-17
3,2021,39,Ohio,oh,3060,2021-01-17
3,2021,40,Oklahoma,ok,2010,2021-01-17
3,2021,41,Oregon,or,259,2021-01-17
3,2021,42,Pennsylvania,pa,3297,2021-01-17
3,2021,44,Rhode Island,ri,213,2021-01-17
3,2021,45,South Carolina,sc,1727,2021-01-17
3,2021,46,South Dakota,sd,92,2021-01-17
3,2021,47,Tennessee,tn,1588,2021-01-17
3,2021,48,Texas,tx,11463,2021-01-17
3,2021,49,Utah,ut,482,2021-01-17
3,2021,50,Vermont,vt,61,2021-01-17
3,2021,51,Virginia,va,1982,2021-01-17
3,2021,53,Washington,wa,621,2021-01-17
3,2021,54,West Virginia,wv,497,2021-01-17
3,2021,55,Wisconsin,wi,1262,2021-01-17
3,2021,56,Wyoming,wy,98,2021-01-17
3,2021,72,Puerto Rico,pr,159,2021-01-17
3,2021,78,Virgin Islands,NA,2,2021-01-17
3,2021,US,United States,us,94447,2021-01-17
3,2022,01,Alabama,al,2837,2022-01-16
3,2022,02,Alaska,ak,153,2022-01-16
3,2022,04,Arizona,az,3842,2022-01-16
3,2022,05,Arkansas,ar,1861,2022-01-16
3,2022,06,California,ca,14875,2022-01-16
3,2022,08,Colorado,co,2080,2022-01-16
3,2022,09,Connecticut,ct,1553,2022-01-16
3,2022,10,Delaware,de,495,2022-01-16
3,2022,11,District of Columbia,dc,320,2022-01-16
3,2022,12,Florida,fl,12855,2022-01-16
3,2022,13,Georgia,ga,4915,2022-01-16
3,2022,15,Hawaii,hi,415,2022-01-16
3,2022,16,Idaho,id,515,2022-01-16
3,2022,17,Illinois,il,4691,2022-01-16
3,2022,18,Indiana,in,3078,2022-01-16
3,2022,19,Iowa,ia,1030,2022-01-16
3,2022,20,Kansas,ks,1411,2022-01-16
3,2022,21,Kentucky,ky,2045,2022-01-16
3,2022,22,Louisiana,la,2377,2022-01-16
3,2022,23,Maine,me,261,2022-01-16
3,2022,24,Maryland,md,1959,2022-01-16
3,2022,25,Massachusetts,ma,2542,2022-01-16
3,2022,26,Michigan,mi,3507,2022-01-16
3,2022,27,Minnesota,mn,1442,2022-01-16
3,2022,28,Mississippi,ms,1381,2022-01-16
3,2022,29,Missouri,mo,2961,2022-01-16
3,2022,30,Montana,mt,491,2022-01-16
3,2022,31,Nebraska,ne,627,2022-01-16
3,2022,32,Nevada,nv,1551,2022-01-16
3,2022,33,New Hampshire,nh,425,2022-01-16
3,2022,34,New Jersey,nj,3884,2022-01-16
3,2022,35,New Mexico,nm,765,2022-01-16
3,2022,36,New York,ny,8290,2022-01-16
3,2022,37,North Carolina,nc,4096,2022-01-16
3,2022,38,North Dakota,nd,288,2022-01-16
3,2022,39,Ohio,oh,5393,2022-01-16
3,2022,40,Oklahoma,ok,3241,2022-01-16
3,2022,41,Oregon,or,844,2022-01-16
3,2022,42,Pennsylvania,pa,5114,2022-01-16
3,2022,44,Rhode Island,ri,333,2022-01-16
3,2022,45,South Carolina,sc,2749,2022-01-16
3,2022,46,South Dakota,sd,499,2022-01-16
3,2022,47,Tennessee,tn,2852,2022-01-16
3,2022,48,Texas,tx,14598,2022-01-16
3,2022,49,Utah,ut,1186,2022-01-16
3,2022,50,Vermont,vt,140,2022-01-16
3,2022,51,Virginia,va,3085,2022-01-16
3,2022,53,Washington,wa,1926,2022-01-16
3,2022,54,West Virginia,wv,898,2022-01-16
3,2022,55,Wisconsin,wi,2325,2022-01-16
3,2022,56,Wyoming,wy,168,2022-01-16
3,2022,60,American Samoa,as,0,2022-01-16
3,2022,72,Puerto Rico,pr,613,2022-01-16
3,2022,78,Virgin Islands,NA,31,2022-01-16
3,2022,US,United States,us,141813,2022-01-16
3,2023,01,Alabama,al,499,2023-01-15
3,2023,02,Alaska,ak,50,2023-01-15
3,2023,04,Arizona,az,443,2023-01-15
3,2023,05,Arkansas,ar,271,2023-01-15
3,2023,06,California,ca,3062,2023-01-15
3,2023,08,Colorado,co,276,2023-01-15
