geo_value,time_value,weekly_hosp,weekly_admits_p100K
co,2020-11-19,1825,31.690982187757868
ct,2020-11-19,741,20.783740551602158
dc,2020-11-19,120,17.00321219016959
de,2020-11-19,154,15.814920247616467
fl,2020-11-19,3704,17.245764765626845
ga,2020-11-19,2558,24.092475170293206
hi,2020-11-19,65,4.590810468742937
ia,2020-11-19,1607,50.933893701249104
id,2020-11-19,393,21.9913657309611
il,2020-11-19,4509,35.582888994407355
in,2020-11-19,2491,37.0011730159105
ks,2020-11-19,1200,41.19020469472223
ky,2020-11-19,2557,57.23337406296297
la,2020-11-19,997,21.446422448488793
ma,2020-11-19,840,12.187154651945745
md,2020-11-19,1200,19.848883831099233
me,2020-11-19,99,7.364909701743475
mi,2020-11-19,3052,30.560165225155423
mn,2020-11-19,1696,30.072884188188166
mo,2020-11-19,2439,39.73977372932114
ms,2020-11-19,782,26.275566176290233
mt,2020-11-19,617,57.72948170714592
nc,2020-11-19,1430,13.63452085242643
nd,2020-11-19,431,56.557078033020936
ne,2020-11-19,956,49.4208047113122
nh,2020-11-19,84,6.177783367200824
nj,2020-11-19,2123,23.90176296611534
nm,2020-11-19,830,39.5835807307129
nv,2020-11-19,987,32.04383154619441
ny,2020-11-19,2908,14.948419983364484
oh,2020-11-19,4156,35.55449093600021
ok,2020-11-19,2186,55.24427649330763
or,2020-11-19,349,8.274579472356859
pa,2020-11-19,3110,24.293100079995384
ri,2020-11-19,162,15.292237490336156
sc,2020-11-19,573,11.128992598928587
sd,2020-11-19,504,56.97110412034468
tn,2020-11-19,1809,26.489294312899332
tx,2020-11-19,8215,28.331610272507326
us,2020-11-19,80285,24.459272687890177
ut,2020-11-19,638,19.90044785365248
va,2020-11-19,901,10.555890040195564
vt,2020-11-19,18,2.884666236103521
wa,2020-11-19,587,7.708578439644523
wi,2020-11-19,3457,59.373794533351514
wv,2020-11-19,357,19.920240917737214
wy,2020-11-19,245,42.331955097026565
ak,2020-11-20,121,16.54033586450594
al,2020-11-20,1378,28.104181261771686
ar,2020-11-20,938,31.08220414579608
